plateifu,cd_re,cd_im,g2_re,g2_im,j3o_re,j3o_im,sl2_re,sl2_im
12068-9101,-7.19810526e-1,-4.13977236e-1,-1.72722873e0,-1.38442447e0,-1.03277796e0,-1.35803718e0,-1.45632855e-1,-9.01073497e-2
12068-9102,-2.59187425e-1,-1.64346779e-1,-6.09938318e-1,-5.54121559e-1,-3.42417367e-1,-5.49703865e-1,-5.31058471e-2,-3.53730708e-2
12069-12701,-2.23853846e-1,-1.27212284e-1,-5.29802239e-1,-4.17921145e-1,-3.10735841e-1,-3.94760945e-1,-4.54448588e-2,-2.88423727e-2
12069-12702,-7.45138447e-2,-2.06984125e-2,-1.60632257e-1,4.84276331e-4,-1.08822545e-1,9.35294702e-2,-1.04036038e-2,-1.04186956e-2
12069-12703,2.52474701e-1,-1.72770788e-1,8.14948601e-1,-5.97887799e-1,8.21165248e-1,-6.18814997e-1,4.53848382e-2,-3.56354805e-2
12069-12705,-2.42898686e-1,-2.53942015e-1,-4.49293279e-1,-6.56446926e-1,-1.53963313e-1,-4.55725516e-1,-3.14794591e-2,-6.43118981e-2
12069-1902,-5.54507485e-1,-3.31864928e-1,-1.31072712e0,-1.10069298e0,-7.56064783e-1,-1.06510564e0,-1.12315478e-1,-7.31249504e-2
12069-3704,3.31700355e0,3.46361043e-1,9.24942124e0,1.24424530e0,7.53049184e0,1.36747499e0,6.41910580e-1,6.66496318e-2
12069-6102,-5.60470102e-1,-5.66301502e-1,-9.98550034e-1,-1.62929004e0,-1.97206124e-1,-1.25040200e0,-1.02612554e-1,-1.45030546e-1
12069-6104,-6.23003487e-1,-1.69782680e-1,-1.68739843e0,-6.02309740e-1,-1.30190531e0,-6.48984341e-1,-1.22222417e-1,-3.34755021e-2
12069-9101,-1.36174942e-2,-2.55394082e-2,3.38058666e-3,-3.27396736e-2,2.84406669e-2,2.97326309e-2,9.92328307e-4,-9.37128515e-3
12069-9102,6.60499762e-1,2.36351154e-1,1.73821533e0,8.26291253e-1,1.26820026e0,8.69708415e-1,1.31047227e-1,4.78746825e-2
12070-12701,-1.83496751e-1,-1.52144462e-1,-3.78290634e-1,-4.34069137e-1,-1.75885228e-1,-3.47484686e-1,-3.11807930e-2,-3.88441084e-2
12070-12702,2.28447798e-2,1.37175441e-1,-1.28010602e-1,3.34629479e-1,-2.84933621e-1,1.47298104e-1,1.83712666e-3,4.25417449e-2
12070-12704,-5.89762414e-1,-3.15432846e-1,-1.44192122e0,-1.06345774e0,-9.00601608e-1,-1.05663287e0,-1.19044961e-1,-6.78330287e-2
12070-12705,7.40597773e-1,-3.37585441e-2,2.12935626e0,-1.08916856e-1,1.82539861e0,-9.87923073e-2,1.41264085e-1,-7.79733772e-3
12070-1902,6.70292807e-2,1.31869597e-2,1.76599415e-1,4.38933414e-2,1.29500126e-1,4.23744773e-2,1.32621237e-2,2.90329391e-3
12070-3704,-4.15115807e-1,-2.17233111e-1,-1.01566611e0,-7.29850810e-1,-6.36538054e-1,-7.21134881e-1,-8.36699307e-2,-4.69632926e-2
12070-6101,-9.82764925e-2,-7.28284617e-2,-2.07160839e-1,-2.28154856e-1,-8.50773177e-2,-1.99790356e-1,-1.99146374e-2,-1.73239994e-2
12070-6102,-1.15598143e-1,-1.05198969e-1,-2.13785841e-1,-3.26183364e-1,-3.57854339e-2,-2.77635489e-1,-2.41720409e-2,-2.54496201e-2
12070-6104,-3.19037605e-1,-1.82178839e-1,-7.66514659e-1,-6.13265164e-1,-4.56792379e-1,-6.06976164e-1,-6.48599773e-2,-3.93016214e-2
12070-9101,-3.30971250e-1,-1.84223417e-1,-7.95593286e-1,-6.11311511e-1,-4.80451115e-1,-5.92627402e-1,-6.66503185e-2,-4.05383647e-2
12070-9102,5.70906091e-1,3.85671905e-1,1.28318785e0,1.27015513e0,6.31176061e-1,1.20925526e0,1.17744722e-1,8.60685917e-2
12071-12704,-2.02318082e-1,-1.49054778e-1,-4.42775396e-1,-3.95893575e-1,-2.57606601e-1,-2.91166181e-1,-3.05137981e-2,-3.79567280e-2
12071-1902,-6.02998550e-1,-2.58468550e-1,-1.55147202e0,-8.95536182e-1,-1.08105494e0,-9.29332596e-1,-1.20517798e-1,-5.31788681e-2
12071-3702,-5.72135568e-1,-3.64988114e-1,-1.33655771e0,-1.21749732e0,-7.41395595e-1,-1.18787898e0,-1.16757570e-1,-7.98039256e-2
12071-3704,-5.56431337e-1,-3.29434087e-1,-1.32811932e0,-1.10859215e0,-7.77803944e-1,-1.09666746e0,-1.13328231e-1,-7.11042461e-2
12071-6101,5.07749440e-2,1.32261010e-1,1.57800785e-2,4.45543115e-1,-1.69137861e-1,4.26515367e-1,1.49284161e-2,2.92561013e-2
12071-6102,-6.66506718e-1,-2.72057341e-1,-1.73176126e0,-9.48262460e-1,-1.23076710e0,-9.93383295e-1,-1.32862120e-1,-5.53997293e-2
12071-6103,-1.37321700e-1,-1.69021296e-1,-2.72855998e-1,-5.76781141e-1,-6.92573617e-2,-5.83669899e-1,-2.96883397e-2,-3.56850589e-2
12071-9101,-7.61005451e-1,-3.16532587e-1,-1.97209783e0,-1.10193404e0,-1.39415804e0,-1.15223529e0,-1.51811255e-1,-6.45903249e-2
12071-9102,-5.04584844e-1,-2.31832820e-1,-1.29414268e0,-8.24585441e-1,-8.80253295e-1,-8.81029755e-1,-1.02853244e-1,-4.59614325e-2
12073-12704,6.00967622e-1,3.03701603e-1,1.45084954e0,1.00668896e0,8.80080692e-1,9.69841464e-1,1.21581206e-1,6.71099108e-2
12073-12705,8.09880982e0,4.47419990e-1,2.26988507e1,1.61256366e0,1.86501044e1,1.78148687e0,1.56317837e0,8.55312869e-2
12073-3703,2.16222573e0,6.94529994e-1,5.66157691e0,2.35142171e0,4.12625252e0,2.36093087e0,4.25844618e-1,1.48031278e-1
12073-3704,-7.03340571e-1,-4.00835887e-1,-1.69515283e0,-1.34793053e0,-1.02118013e0,-1.33318124e0,-1.42566223e-1,-8.65595048e-2
12073-6104,7.45709045e0,1.04887010e0,2.07215166e1,3.76625010e0,1.67627397e1,4.13513873e0,1.44585147e0,2.02056462e-1
12073-9102,2.65714954e0,1.07114746e-1,7.46168547e0,3.87620244e-1,6.15172856e0,4.30930393e-1,5.12358883e-1,2.03098096e-2
12074-12704,2.96732342e-1,3.57121838e-1,4.86409144e-1,1.10271487e0,-2.20500696e-2,9.44880315e-1,6.08065420e-2,8.61897264e-2
12074-1902,2.53288690e0,7.19606159e-1,6.79115952e0,2.52853133e0,5.14221470e0,2.68339367e0,4.98740937e-1,1.44423136e-1
12074-3701,-6.44690125e-1,-2.86287999e-1,-1.64982544e0,-9.89961865e-1,-1.13655837e0,-1.02408250e0,-1.29063792e-1,-5.91023018e-2
12074-3703,1.21317160e0,4.67142407e-1,3.00990287e0,1.44529967e0,2.01887186e0,1.25517730e0,2.35353171e-1,1.11944312e-1
12074-3704,-6.46501153e-3,-5.37557349e-2,6.43108236e-2,-1.30356651e-1,1.40288937e-1,-5.53129377e-2,-5.25212880e-4,-1.62064249e-2
12074-6101,3.34170334e0,7.33271052e-1,9.10170616e0,2.59361186e0,7.09736932e0,2.77597160e0,6.54232757e-1,1.45634823e-1
12074-6102,-1.96513053e-3,-2.54377598e-3,-4.13824869e-3,-9.94782561e-3,-6.23434839e-4,-1.18533897e-2,-5.09575366e-4,-4.20367824e-4
12074-9102,1.26530543e0,5.52090693e-1,3.15701510e0,1.82503759e0,2.08971765e0,1.76152512e0,2.51551410e-1,1.22002875e-1
12075-12702,2.06914112e0,4.30903139e-1,5.65009281e0,1.51987255e0,4.43184820e0,1.62373361e0,4.03991470e-1,8.58458655e-2
12075-12703,2.96564124e-1,1.67704363e-1,7.27111443e-1,5.74398928e-1,4.53288739e-1,5.84738178e-1,6.02229190e-2,3.51950834e-2
12075-12705,-3.20168686e-1,-1.51949184e-1,-7.98483734e-1,-5.13762898e-1,-5.22646685e-1,-5.12896899e-1,-6.42709681e-2,-3.25290837e-2
12075-1902,-2.62570374e-1,-5.48843312e-2,-7.28129571e-1,-2.00143321e-1,-5.85338492e-1,-2.24541097e-1,-5.11020678e-2,-1.02634699e-2
12075-3702,1.69043685e-1,-7.29828761e-2,5.94617797e-1,-1.92780956e-1,6.33665446e-1,-1.06785952e-1,3.15078452e-2,-2.08897503e-2
12075-3703,2.01526102e0,8.06427331e-1,5.12372387e0,2.69047110e0,3.52759130e0,2.63529447e0,3.99367016e-1,1.75915690e-1
12075-3704,-1.51031408e-1,1.48017165e-1,-6.30877404e-1,4.32134456e-1,-7.82149775e-1,3.17438078e-1,-2.55386811e-2,3.85832398e-2
12075-6101,-4.11906510e-1,-1.92775179e-1,-1.06363530e0,-7.00331033e-1,-7.25827851e-1,-7.66823637e-1,-8.48432155e-2,-3.69717259e-2
12075-6102,-4.82021696e-1,-2.49222997e-1,-1.20152032e0,-8.54487386e-1,-7.81011748e-1,-8.72004636e-1,-9.72287562e-2,-5.21882867e-2
12075-6103,-5.13753877e-1,-2.55359969e-1,-1.29976566e0,-9.23484339e-1,-8.41318919e-1,-9.97157575e-1,-1.07503199e-1,-4.97631607e-2
12075-6104,8.50094197e-2,8.43287521e-2,1.85933250e-1,2.88877498e-1,8.07891882e-2,2.95863784e-1,1.77548268e-2,1.76064839e-2
12075-9101,1.88243937e0,-5.51693663e-3,5.30316010e0,-1.76081970e-2,4.39693569e0,-1.55085398e-2,3.62371806e-1,-1.29766117e-3
12075-9102,-6.03003477e-1,-3.69187086e-1,-1.41285195e0,-1.21652163e0,-7.99336772e-1,-1.16549590e0,-1.21966767e-1,-8.20766455e-2
12078-12704,1.29194866e-1,-1.07592135e-1,4.16326071e-1,-3.79407031e-1,4.20418541e-1,-4.04776726e-1,2.30859561e-2,-2.14576461e-2
12078-1901,-3.13184219e-1,-8.05508228e-2,-8.51264369e-1,-2.86095779e-1,-6.61248596e-1,-3.08859270e-1,-6.13418133e-2,-1.58458366e-2
12078-1902,-4.72183981e-2,-3.61919623e-3,-1.35354008e-1,-1.43371800e-2,-1.15263010e-1,-1.79991119e-2,-9.03774699e-3,-5.56334614e-4
12078-3701,1.86623346e0,3.02085670e-1,5.14646357e0,1.07103737e0,4.10968363e0,1.15369678e0,3.62827460e-1,5.96026230e-2
12078-3703,-7.33263425e-1,-3.23796241e-1,-1.88580778e0,-1.12488971e0,-1.31182242e0,-1.17234268e0,-1.46664846e-1,-6.63121611e-2
12078-3704,1.72018877e0,4.06157499e-1,4.67817330e0,1.43817180e0,3.63863568e0,1.54510831e0,3.36756899e-1,8.03606549e-2
12078-6101,-3.87054977e-1,-2.01441869e-1,-9.66144358e-1,-6.93019923e-1,-6.29035830e-1,-7.10915722e-1,-7.81416792e-2,-4.19519209e-2
12078-6102,2.56721661e0,4.35886150e-1,7.06816719e0,1.54585833e0,5.62683530e0,1.66553355e0,4.99568357e-1,8.59689345e-2
12078-6103,5.37088000e-1,2.43593163e-1,1.36649119e0,8.37510397e-1,9.31329375e-1,8.58873482e-1,1.07543955e-1,5.07612301e-2
12078-6104,1.41017145e-1,1.70091453e-1,2.27597204e-1,5.18239081e-1,-1.33085700e-2,4.33769583e-1,2.84722269e-2,4.17005965e-2
12079-12701,-2.70893193e-1,-4.21309107e-1,-3.05085159e-1,-1.09773352e0,1.85316517e-1,-7.08807596e-1,-3.62881832e-2,-1.14214426e-1
12079-12702,-4.77363288e-1,-2.80051673e-1,-1.14750738e0,-9.44754788e-1,-6.85282707e-1,-9.39232177e-1,-9.69618939e-2,-6.01815341e-2
12079-12703,-2.86070780e-1,-2.05844566e-1,-6.26263135e-1,-6.58599485e-1,-2.94363456e-1,-5.98170354e-1,-5.81112286e-2,-4.78628220e-2
12079-12705,4.37282521e-2,1.45828442e-1,-4.97317085e-2,3.93876811e-1,-2.22971605e-1,2.60707177e-1,6.12248346e-3,3.96453068e-2
12079-1902,-2.70249318e-1,-1.35941456e-1,-6.61565368e-1,-4.54964593e-1,-4.15262656e-1,-4.46316187e-1,-5.44598109e-2,-2.95771964e-2
12079-3701,-3.67876263e-1,-4.00616337e-1,-6.14429134e-1,-1.13912565e0,-5.51248044e-2,-8.50586588e-1,-6.66897595e-2,-1.03930126e-1
12079-3703,-5.61322691e-1,-2.18940530e-1,-1.47752271e0,-7.71594137e-1,-1.07638583e0,-8.22226396e-1,-1.11558437e-1,-4.37204410e-2
12079-3704,6.01138384e-1,2.85020766e-1,1.50860332e0,9.76098197e-1,9.95621048e-1,9.93581938e-1,1.21057908e-1,5.98227394e-2
12079-6101,-5.72925104e-1,-2.61531281e-1,-1.46881433e0,-9.09821070e-1,-1.01386040e0,-9.50076152e-1,-1.14812501e-1,-5.34398450e-2
12079-6104,-1.45494580e-1,-1.95363295e-2,-3.99415747e-1,-6.84213455e-2,-3.16310352e-1,-7.22069661e-2,-2.83479268e-2,-3.94510057e-3
12079-9101,-3.92672472e-1,-2.69103896e-1,-8.79720859e-1,-8.73186761e-1,-4.38158484e-1,-8.13230475e-1,-7.99691200e-2,-6.12191319e-2
12079-9102,1.62208983e-1,1.44242337e-1,3.50759789e-1,4.87619735e-1,1.45376946e-1,4.85403361e-1,3.41878403e-2,3.09337741e-2
12080-12701,-2.80845107e-1,-2.06497450e-1,-5.94919252e-1,-5.74191408e-1,-3.01671889e-1,-4.28538923e-1,-4.82602778e-2,-5.34038860e-2
12080-12704,-4.81710151e-1,-4.00036654e-1,-9.78361972e-1,-1.22211668e0,-3.65762676e-1,-1.03675238e0,-9.44732594e-2,-9.72055234e-2
12080-12705,4.78549260e-1,3.24187487e-1,1.07691987e0,1.02880739e0,5.62643239e-1,9.32782784e-1,9.48403950e-2,7.53891837e-2
12080-1901,5.82486602e-1,6.38623151e-1,1.03545244e0,2.05096565e0,6.90218121e-2,1.86555955e0,1.25077130e-1,1.47696353e-1
12080-1902,-6.55995205e-1,-2.97315330e-1,-1.67489380e0,-1.02879493e0,-1.14738650e0,-1.06527947e0,-1.31493641e-1,-6.13120656e-2
12080-3702,2.51700758e-1,2.28177875e-1,5.45984185e-1,7.73983185e-1,2.29250327e-1,7.75596512e-1,5.29858276e-2,4.86407087e-2
12080-6103,3.04307631e-1,5.61192688e-2,8.35270217e-1,1.84968779e-1,6.71438872e-1,1.83498407e-1,5.80099963e-2,1.21868436e-2
12080-9101,-6.91083020e-1,-5.78641511e-1,-1.41386167e0,-1.81292703e0,-5.18696987e-1,-1.59642036e0,-1.39311175e-1,-1.37231628e-1
12081-12701,2.57405664e-1,-2.17912391e-3,7.70954633e-1,2.53905791e-2,6.90260825e-1,7.79590405e-2,4.94868939e-2,-3.68939259e-3
12081-12702,-5.40266539e-1,-3.60093464e-1,-1.23032547e0,-1.17710192e0,-6.42854978e-1,-1.11219197e0,-1.09754595e-1,-8.09807456e-2
12081-12703,-4.77580249e-1,-3.96476704e-1,-9.77537810e-1,-1.23673725e0,-3.62451166e-1,-1.08127767e0,-9.58928170e-2,-9.44925090e-2
12081-12705,-2.82866317e-1,-3.48526804e-1,-4.81841809e-1,-8.89450683e-1,-9.55658068e-2,-6.16271040e-1,-3.06278250e-2,-8.51328364e-2
12081-1901,2.98569317e0,1.34202130e0,7.72371130e0,4.68966273e0,5.43728661e0,4.93524055e0,5.96192295e-1,2.71955816e-1
12081-1902,1.93323423e0,6.29014937e-1,5.12385842e0,2.19153633e0,3.79871936e0,2.29583007e0,3.81867948e-1,1.28127568e-1
12081-3704,1.41045157e0,9.64708958e-1,3.28369257e0,3.26844794e0,1.77813210e0,3.26560964e0,2.90798179e-1,2.06176952e-1
12081-6101,4.31088928e-1,1.64757849e-1,1.13448613e0,5.78087488e-1,8.27477316e-1,6.12124013e-1,8.55512076e-2,3.31519094e-2
12081-6104,-6.13141732e-1,-5.30062244e-1,-1.22688002e0,-1.63563993e0,-4.17373299e-1,-1.40609496e0,-1.22079276e-1,-1.27737324e-1
12082-12702,1.70970230e-1,2.81525663e-1,1.85180387e-1,7.28663484e-1,-1.31753704e-1,4.78062910e-1,2.01442730e-2,7.46540651e-2
12082-12703,-2.85340033e-1,-1.10235555e-1,-7.52758414e-1,-4.14072432e-1,-5.32007568e-1,-4.64838673e-1,-5.94683104e-2,-2.03101340e-2
12082-1902,3.92221059e-1,3.56964615e-1,8.12841110e-1,1.17639439e0,2.88000204e-1,1.12394189e0,8.21859854e-2,7.94774116e-2
12082-3701,-1.40758731e-1,-1.60545635e-2,-4.03018516e-1,-6.42212344e-2,-3.40914264e-1,-8.10002320e-2,-2.71125891e-2,-2.42164571e-3
12082-3703,5.26210297e-1,5.13913268e-1,1.01437820e0,1.62206352e0,2.60606974e-1,1.44772968e0,1.07442517e-1,1.20732310e-1
12082-6101,-2.90675981e-1,-1.14728739e-1,-7.61800057e-1,-4.01810126e-1,-5.51215482e-1,-4.24446902e-1,-5.77459192e-2,-2.31533676e-2
12082-6104,-2.61421622e-3,1.78268815e-2,-9.12387099e-3,7.56804160e-2,-1.82649027e-2,9.90025284e-2,3.70578543e-4,2.33002855e-3
12082-9102,-1.35298581e-1,-4.12666861e-3,-3.89323338e-1,-1.07353195e-1,-2.91813665e-1,-1.77239083e-1,-3.78173851e-2,1.80844948e-3
12083-12704,-2.00784361e-1,-1.93208737e-1,-4.69252859e-1,-6.78582495e-1,-2.51763326e-1,-7.19420421e-1,-4.18290681e-2,-3.88151232e-2
12083-3703,4.18027724e-1,1.20047137e-1,1.13127132e0,4.26333350e-1,8.71337861e-1,4.60172037e-1,8.20477785e-2,2.36203196e-2
12083-6104,-4.76530223e-1,-2.79046758e-1,-1.14904049e0,-9.46202707e-1,-6.89233593e-1,-9.48026467e-1,-9.69655419e-2,-5.95048956e-2
12084-12701,5.92730823e-3,1.55970147e-1,-1.39188914e-1,3.17183055e-1,-2.43338663e-1,1.28725179e-1,-1.90073625e-2,3.96972647e-2
12084-12702,-3.85485910e-1,-2.66823833e-1,-8.51044724e-1,-8.41899806e-1,-4.17899000e-1,-7.53117206e-1,-7.68391693e-2,-6.26176220e-2
12084-12703,-7.01621317e-1,-4.26709974e-1,-1.65861309e0,-1.42185228e0,-9.54027987e-1,-1.38634079e0,-1.42407373e-1,-9.33858453e-2
12084-12704,-3.44599995e-1,-2.21968617e-1,-7.71867964e-1,-6.82207791e-1,-4.08394156e-1,-5.87833063e-1,-6.68880589e-2,-5.34447225e-2
12084-1901,3.87694852e-1,1.78873154e-1,9.98802953e-1,6.25285323e-1,6.96249584e-1,6.58096181e-1,7.76034362e-2,3.62362431e-2
12084-1902,-8.70862211e-1,-4.43665603e-1,-2.16915262e0,-1.51726836e0,-1.40868477e0,-1.54196754e0,-1.75591475e-1,-9.32980670e-2
12084-3701,-8.40319507e-1,-3.31003612e-1,-2.19950935e0,-1.15948019e0,-1.58613174e0,-1.22432135e0,-1.67156042e-1,-6.68084019e-2
12084-3702,-3.18072084e-1,-1.12698922e-1,-8.29560266e-1,-3.85647469e-1,-5.97910904e-1,-3.93003477e-1,-6.29515663e-2,-2.36506465e-2
12084-3703,5.37459725e-1,2.89679855e-1,1.35156499e0,1.00643311e0,8.92852226e-1,1.04892957e0,1.08469596e-1,5.93206627e-2
12084-6101,-1.01649828e-1,6.24167843e-2,-3.31689614e-1,2.14540555e-1,-3.39058026e-1,2.19308505e-1,-1.81178776e-2,1.30335825e-2
12084-6102,-7.42772631e-1,-3.02878336e-1,-1.92779881e0,-1.05276190e0,-1.36836310e0,-1.09839005e0,-1.47981629e-1,-6.19615468e-2
12084-6104,7.96591305e-2,4.88081874e-2,2.00817600e-1,1.71772559e-1,1.32822941e-1,1.82710351e-1,1.61183654e-2,9.76874605e-3
12084-9101,8.72029545e-2,-1.61603920e-3,2.48842403e-1,-5.16416834e-3,2.10897558e-1,-4.56269717e-3,1.66771401e-2,-3.79381551e-4
12085-12701,-2.74762356e-1,-1.87139696e-1,-6.11788533e-1,-5.90938551e-1,-3.08832078e-1,-5.31616185e-1,-5.44774411e-2,-4.37201139e-2
12085-12704,-9.31386618e-1,-4.50081849e-1,-2.35343701e0,-1.55247574e0,-1.57588059e0,-1.59939880e0,-1.87295223e-1,-9.33167327e-2
12085-12705,-2.73839172e-1,-2.55011949e-1,-5.28787869e-1,-6.97617836e-1,-1.99813421e-1,-5.16820018e-1,-4.34215393e-2,-6.52056802e-2
12085-1901,3.00156370e0,1.32037076e0,7.66797644e0,4.53731312e0,5.27686246e0,4.65039320e0,5.99811510e-1,2.75339967e-1
12085-1902,1.85782987e0,9.20162546e-1,4.75209834e0,3.21475347e0,3.26121965e0,3.38105476e0,3.72818369e-1,1.86572351e-1
12085-3701,2.70416874e-1,1.49330596e-1,6.73044969e-1,5.15729902e-1,4.34639821e-1,5.32418713e-1,5.46976187e-2,3.08944355e-2
12085-3703,-2.71977994e-1,-5.46180272e-2,-7.49244027e-1,-1.95667043e-1,-5.96526595e-1,-2.14101707e-1,-5.29608320e-2,-1.05678348e-2
12085-3704,-1.59980532e-1,-3.46241998e-2,-4.36650882e-1,-1.22715904e-1,-3.41873609e-1,-1.31954521e-1,-3.12767061e-2,-6.84179465e-3
12085-6101,8.14581654e-1,4.08004580e-1,2.04508469e0,1.40220177e0,1.35137993e0,1.43657917e0,1.63957555e-1,8.50968394e-2
12085-6103,9.85633247e-1,5.65088047e-1,2.40724741e0,1.92790787e0,1.49055008e0,1.95181911e0,1.99931099e-1,1.19291535e-1
12085-6104,1.04190552e-1,7.11780153e-2,2.58386442e-1,2.50022967e-1,1.64236154e-1,2.65148427e-1,2.12102315e-2,1.42952667e-2
12085-9102,6.36372475e-1,2.17090778e-1,1.68975640e0,7.62144205e-1,1.25545832e0,8.07915208e-1,1.25785700e-1,4.36311645e-2
12087-12702,-3.93931456e-1,-2.46490597e-1,-9.11409268e-1,-8.01514534e-1,-5.02914844e-1,-7.52313806e-1,-7.92891866e-2,-5.57629288e-2
12087-12703,-2.10248165e-1,-1.04092976e-1,-5.00205996e-1,-3.47882586e-1,-2.95095418e-1,-3.20657154e-1,-4.46341743e-2,-2.44806299e-2
12087-12705,4.75725208e-1,1.13741032e-1,1.30359546e0,4.08506238e-1,1.02654914e0,4.48248012e-1,9.29849231e-2,2.19158022e-2
12087-1902,8.13270757e0,1.15250300e0,2.25782518e1,4.12346581e0,1.82405514e1,4.50402330e0,1.57697447e0,2.23519665e-1
12087-3701,7.82542362e-1,3.15691864e-1,2.02198700e0,1.08866915e0,1.42485765e0,1.12199852e0,1.55857310e-1,6.54489625e-2
12087-3702,-9.78966087e-2,-5.10440594e-2,-2.55096269e-1,-1.81450506e-1,-1.81578798e-1,-1.96104220e-1,-1.95670071e-2,-1.00265307e-2
12087-3703,-8.25286241e-1,-4.54062823e-1,-2.01531242e0,-1.53816727e0,-1.25163095e0,-1.53975934e0,-1.66986147e-1,-9.69353839e-2
12087-6101,1.09547735e0,4.09091750e-1,2.86160469e0,1.41497447e0,2.06331293e0,1.46596737e0,2.17268828e-1,8.43588169e-2
12087-6102,-3.86705268e-1,-2.40483580e-1,-8.99365473e-1,-7.80050955e-1,-5.06467813e-1,-7.32288416e-1,-7.72669986e-2,-5.44261171e-2
12087-6103,-4.53815168e-1,-2.75517208e-1,-1.12085485e0,-9.57250108e-1,-7.07889041e-1,-9.97476550e-1,-9.22730212e-2,-5.64260232e-2
12087-6104,2.57842827e-1,1.73896961e-1,5.96554186e-1,5.67575723e-1,3.31917078e-1,5.40070235e-1,5.14267863e-2,3.89502801e-2
12087-9101,-1.40867126e-1,-9.70535469e-2,-3.11030423e-1,-3.13113833e-1,-1.47815925e-1,-2.86194354e-1,-2.89675552e-2,-2.24264388e-2
12087-9102,-5.33254754e-1,-3.11767195e-1,-1.27929055e0,-1.05055920e0,-7.59631574e-1,-1.04183916e0,-1.08431132e-1,-6.71415193e-2
12088-12702,-4.51416381e-1,-4.96336990e-1,-7.72229660e-1,-1.32646662e0,-1.57860929e-1,-9.28090663e-1,-6.78609497e-2,-1.30186628e-1
12088-12704,-3.40190224e-1,-2.90701450e-1,-6.80869437e-1,-8.40189302e-1,-2.71664989e-1,-6.60232893e-1,-6.13981929e-2,-7.36137358e-2
12088-12705,-6.63679549e-1,-5.11727985e-1,-1.40124942e0,-1.59920853e0,-5.91869648e-1,-1.40459650e0,-1.32653252e-1,-1.21598799e-1
12088-1901,1.95307565e0,9.09901579e-1,5.02491175e0,3.18214099e0,3.49123283e0,3.35114466e0,3.91266766e-1,1.84194864e-1
12088-3701,2.77190009e0,5.45006647e-1,7.60561231e0,1.93750563e0,6.01420806e0,2.09483939e0,5.40481853e-1,1.07021244e-1
12088-3702,-6.06219618e-1,-2.73673575e-1,-1.55931018e0,-9.54352392e-1,-1.08354393e0,-1.00040502e0,-1.21389989e-1,-5.56854628e-2
12088-3703,-1.96128084e-1,-5.46883380e-2,-5.31713956e-1,-1.95400678e-1,-4.10296600e-1,-2.12717135e-1,-3.85252230e-2,-1.06431926e-2
12088-6101,-4.92067649e-1,-2.46515802e-1,-1.23383782e0,-8.47284029e-1,-8.12437036e-1,-8.67886963e-1,-9.91399836e-2,-5.14186187e-2
12088-6102,-1.72051874e-1,-8.64123435e-3,-5.29091706e-1,-6.99242537e-2,-4.80978931e-1,-1.39028056e-1,-3.31445374e-2,2.61461013e-3
12088-6104,4.61569679e-1,2.60273537e-1,1.10614860e0,8.72102978e-1,6.56172611e-1,8.56810816e-1,9.37498667e-2,5.65384287e-2
12088-9101,3.93449086e-2,1.80341341e-1,-8.39007921e-2,5.51557360e-1,-3.10863949e-1,4.59147629e-1,1.02845032e-2,4.42435283e-2
12089-12701,-2.40291472e-1,-1.84168892e-1,-5.09336064e-1,-5.08580028e-1,-2.59342182e-1,-3.85809508e-1,-3.94745194e-2,-4.66369014e-2
12089-12702,-5.78762705e-1,-5.23875293e-1,-1.12139014e0,-1.59138142e0,-3.31709916e-1,-1.33290496e0,-1.13836905e-1,-1.28274436e-1
12089-12703,-3.88392786e-1,-4.02510224e-1,-7.18093067e-1,-1.26105824e0,-1.32029292e-1,-1.10993573e0,-7.94053820e-2,-9.54693127e-2
12089-12705,-6.60062002e-1,-5.17184496e-1,-1.38842978e0,-1.62953916e0,-5.68871549e-1,-1.44778783e0,-1.33225162e-1,-1.21894260e-1
12089-1902,-5.84766930e-1,-1.40669358e-1,-1.59489661e0,-4.99967174e-1,-1.24702144e0,-5.40367493e-1,-1.14347568e-1,-2.76349326e-2
12089-3701,2.51746666e0,8.81359481e-2,7.06687411e0,3.18508329e-1,5.82253454e0,3.53350186e-1,4.85512519e-1,1.67574581e-2
12089-3702,2.23162974e0,5.68114998e-1,5.96496859e0,1.92829672e0,4.52674001e0,1.94878344e0,4.36010729e-1,1.20411284e-1
12089-3703,-7.97222555e-1,-4.37475409e-1,-1.94926954e0,-1.48475309e0,-1.21293921e0,-1.49035066e0,-1.61409696e-1,-9.31358921e-2
12089-3704,3.66277730e-1,-1.07695259e-2,1.05231320e0,-3.34613078e-2,9.01419523e-1,-2.78183597e-2,6.98511031e-2,-2.62641540e-3
12089-6101,1.47289608e0,7.38908031e-1,3.69154203e0,2.53228045e0,2.43340638e0,2.58376717e0,2.96245296e-1,1.54791275e-1
12089-6103,-4.92690775e-1,-3.58468798e-1,-1.09357161e0,-1.17308530e0,-5.23454665e-1,-1.10918169e0,-1.00942256e-1,-8.05439510e-2
12089-6104,1.40972833e0,4.36903051e-1,3.76734091e0,1.53897253e0,2.83277779e0,1.63952675e0,2.78106728e-1,8.72943558e-2
12089-9101,3.98032365e-1,4.38207198e-1,6.96466522e-1,1.36589134e0,5.22858967e-2,1.18475721e0,8.23881190e-2,1.04906979e-1
12090-12701,-4.93192195e-1,-1.56974706e-1,-1.32007145e0,-5.53775190e-1,-9.95802334e-1,-5.91489554e-1,-9.72174728e-2,-3.12728242e-2
