mode,k,bin_index,n_galaxies,log_m200_median,log_m200_min,log_m200_max,re,im,power,phase,rms,bin_snr,mode_snr
1,0.897598,10,70,11.0700,11.0600,11.0700,2.85130406e-2,3.43285518e-2,1.99144295e-3,0.877678,2.01556529e-1,0.577723,0.221405
2,1.795196,10,70,11.0700,11.0600,11.0700,-7.66083865e-3,5.09663298e-2,2.65625522e-3,1.719991,2.01556529e-1,0.577723,0.255704
3,2.692794,10,70,11.0700,11.0600,11.0700,-5.04312689e-2,3.60756278e-2,3.84476380e-3,2.520644,2.01556529e-1,0.577723,0.307637
4,3.590392,10,70,11.0700,11.0600,11.0700,-7.40885862e-2,-1.12168421e-2,5.61493616e-3,-2.991336,2.01556529e-1,0.577723,0.371771
5,4.487990,10,70,11.0700,11.0600,11.0700,-5.50402309e-2,-7.01267526e-2,7.94718845e-3,-2.236242,2.01556529e-1,0.577723,0.442293
6,5.385587,10,70,11.0700,11.0600,11.0700,8.51384778e-3,-1.03055315e-1,1.06928835e-2,-1.488369,2.01556529e-1,0.577723,0.513039
7,6.283185,10,70,11.0700,11.0600,11.0700,8.57763874e-2,-7.87502389e-2,1.35591888e-2,-0.742719,2.01556529e-1,0.577723,0.577723
1,0.897598,11,70,11.0800,11.0700,11.0900,-2.51555894e-1,-1.80426519e-1,9.58340964e-2,-2.519388,1.69932923e-1,1.821724,1.821724
2,1.795196,11,70,11.0800,11.0700,11.0900,-9.70744356e-2,-2.85873916e-1,9.11473418e-2,-1.898150,1.69932923e-1,1.821724,1.776620
3,2.692794,11,70,11.0800,11.0700,11.0900,8.32850969e-2,-2.77197344e-1,8.37747748e-2,-1.278923,1.69932923e-1,1.821724,1.703253
4,3.590392,11,70,11.0800,11.0700,11.0900,2.14876208e-1,-1.67774780e-1,7.43201617e-2,-0.662922,1.69932923e-1,1.821724,1.604264
5,4.487990,11,70,11.0800,11.0700,11.0900,2.51711592e-1,-1.30140552e-2,6.35280910e-2,-0.051656,1.69932923e-1,1.821724,1.483219
6,5.385587,11,70,11.0800,11.0700,11.0900,1.94434045e-1,1.19982374e-1,5.22003677e-2,0.552888,1.69932923e-1,1.821724,1.344495
7,6.283185,11,70,11.0800,11.0700,11.0900,8.32007700e-2,1.84898725e-1,4.11099068e-2,1.147959,1.69932923e-1,1.821724,1.193152
1,0.897598,12,70,11.0900,11.0900,11.1000,-4.52148182e-2,-1.24558225e-2,2.19952730e-3,-2.872779,1.40609243e-1,0.677448,0.333542
2,1.795196,12,70,11.0900,11.0900,11.1000,-4.48044801e-2,-3.88099064e-2,3.51365027e-3,-2.427765,1.40609243e-1,0.677448,0.421566
3,2.692794,12,70,11.0900,11.0900,11.1000,-1.96101907e-2,-7.02197702e-2,5.31537571e-3,-1.843127,1.40609243e-1,0.677448,0.518505
4,3.590392,12,70,11.0900,11.0900,11.1000,3.20641912e-2,-7.81401757e-2,7.13399942e-3,-1.181406,1.40609243e-1,0.677448,0.600693
5,4.487990,12,70,11.0900,11.0900,11.1000,8.19546205e-2,-4.22442117e-2,8.50113325e-3,-0.475938,1.40609243e-1,0.677448,0.655729
6,5.385587,12,70,11.0900,11.0900,11.1000,9.21047733e-2,2.42962705e-2,9.07359803e-3,0.257914,1.40609243e-1,0.677448,0.677448
7,6.283185,12,70,11.0900,11.0900,11.1000,4.93514209e-2,7.92614859e-2,8.71794590e-3,1.013895,1.40609243e-1,0.677448,0.664038
1,0.897598,13,70,11.1100,11.1000,11.1100,2.51985793e-1,2.22453085e-1,1.12982215e-1,0.723231,9.26541456e-2,3.627774,3.627774
2,1.795196,13,70,11.1100,11.1000,11.1100,4.01663200e-2,3.23440535e-1,1.06227113e-1,1.447244,9.26541456e-2,3.627774,3.517652
3,2.692794,13,70,11.1100,11.1000,11.1100,-1.75212732e-1,2.54946375e-1,9.56971557e-2,2.172916,9.26541456e-2,3.627774,3.338756
4,3.590392,13,70,11.1100,11.1000,11.1100,-2.78784355e-1,6.83003061e-2,8.23856482e-2,2.901332,9.26541456e-2,3.627774,3.097854
5,4.487990,13,70,11.1100,11.1000,11.1100,-2.28945234e-1,-1.22815892e-1,6.74996635e-2,-2.649218,9.26541456e-2,3.627774,2.804051
6,5.385587,13,70,11.1100,11.1000,11.1100,-7.61401480e-2,-2.15667913e-1,5.23099710e-2,-1.910180,9.26541456e-2,3.627774,2.468467
7,6.283185,13,70,11.1100,11.1000,11.1100,7.76233869e-2,-1.78813555e-1,3.79996777e-2,-1.161241,9.26541456e-2,3.627774,2.103900
1,0.897598,14,70,11.1200,11.1100,11.1200,-3.91601623e-1,-3.58858152e-1,2.82131004e-1,-2.399798,1.39991126e-1,3.794241,3.794241
2,1.795196,14,70,11.1200,11.1100,11.1200,-4.44368302e-2,-5.09812580e-1,2.61883498e-1,-1.657740,1.39991126e-1,3.794241,3.655557
3,2.692794,14,70,11.1200,11.1100,11.1200,2.92951568e-1,-3.80858468e-1,2.30873794e-1,-0.915128,1.39991126e-1,3.794241,3.432312
4,3.590392,14,70,11.1200,11.1100,11.1200,4.32540234e-1,-7.49678252e-2,1.92711229e-1,-0.171615,1.39991126e-1,3.794241,3.135834
5,4.487990,14,70,11.1200,11.1100,11.1200,3.27077462e-1,2.11150744e-1,1.51564303e-1,0.573253,1.39991126e-1,3.794241,2.780981
