rank,plateifu,total_power,is_anomalous,p1,p2,p3,p4,p5,p6,p7,ph1,ph2,ph3,ph4,ph5,ph6,ph7
1472,10215-6103,3.76264485e0,0,7.15354928e-1,6.81386418e-1,6.27679921e-1,5.58278439e-1,4.78245070e-1,3.93153698e-1,3.08546372e-1,-2.922325,-2.703438,-2.485344,-2.268521,-2.053561,-1.841253,-1.632713
1473,8722-1902,3.76068199e0,0,7.47213914e-1,7.06096405e-1,6.41542225e-1,5.59034906e-1,4.65358270e-1,3.67845125e-1,2.73591144e-1,-2.881194,-2.620798,-2.360410,-2.100034,-1.839676,-1.579342,-1.319044
1474,11752-12703,3.76000888e0,0,6.55504504e-1,6.34206021e-1,5.99954217e-1,5.54523879e-1,5.00220439e-1,4.39718908e-1,3.75880914e-1,-2.945881,-2.750199,-2.554579,-2.359053,-2.163656,-1.968426,-1.773406
1475,8567-6102,3.75355311e0,0,6.11715060e-1,5.98743252e-1,5.77611979e-1,5.49030666e-1,5.13947372e-1,4.73506500e-1,4.28998277e-1,-2.970826,-2.800022,-2.629142,-2.458144,-2.286983,-2.115605,-1.943947
1476,8624-9102,3.74662162e0,0,7.32544270e-1,6.94150665e-1,6.33770450e-1,5.56386239e-1,4.68170065e-1,3.75807738e-1,2.85792196e-1,-2.890292,-2.638678,-2.386401,-2.133036,-1.878019,-1.620542,-1.359364
1477,8551-12704,3.74456748e0,0,6.38612282e-1,6.20260830e-1,5.90610732e-1,5.51005403e-1,5.03209857e-1,4.49304787e-1,3.91563589e-1,-2.959406,-2.777137,-2.594697,-2.411987,-2.228889,-2.045259,-1.860909
1478,8602-9101,3.74416818e0,0,7.07070220e-1,6.74382693e-1,6.22607706e-1,5.55516687e-1,4.77854020e-1,3.94876818e-1,3.11860033e-1,-2.916357,-2.691160,-2.466045,-2.241064,-2.016281,-1.791788,-1.567715
1479,11871-1901,3.74400746e0,0,5.91717727e-1,5.82106786e-1,5.66380526e-1,5.44965048e-1,5.18433747e-1,4.87485460e-1,4.52918169e-1,0.137851,0.275693,0.413520,0.551325,0.689102,0.826851,0.964573
1480,11746-12704,3.74284113e0,0,7.16950281e-1,6.82113544e-1,6.27037191e-1,5.55878479e-1,4.73856222e-1,3.86734832e-1,3.00270582e-1,-2.914283,-2.687160,-2.460425,-2.234325,-2.009180,-1.785439,-1.563779
1481,8088-1901,3.74161438e0,0,5.30977638e-1,5.31545246e-1,5.32487318e-1,5.33797957e-1,5.35468936e-1,5.37489730e-1,5.39847550e-1,0.033291,0.066620,0.100023,0.133537,0.167197,0.201038,0.235094
1482,7991-6102,3.73998609e0,0,5.71989105e-1,5.65657135e-1,5.55283296e-1,5.41124311e-1,5.23516005e-1,5.02852568e-1,4.79563670e-1,0.085502,0.170823,0.255785,0.340226,0.423999,0.506975,0.589054
1483,10514-3701,3.73335482e0,0,5.69132574e-1,5.63243660e-1,5.53536132e-1,5.40168536e-1,5.23358005e-1,5.03375572e-1,4.80540345e-1,-3.028908,-2.916219,-2.803521,-2.690809,-2.578077,-2.465321,-2.352532
1484,12622-9102,3.72869050e0,0,6.96444320e-1,6.65482008e-1,6.16385269e-1,5.52652636e-1,4.78689309e-1,3.99383857e-1,3.19653099e-1,0.220864,0.441408,0.661284,0.880091,1.097328,1.312336,1.524189
1485,8338-1901,3.72674579e0,0,6.04938242e-1,5.92497765e-1,5.72221051e-1,5.44772860e-1,5.11042261e-1,4.72103625e-1,4.29169983e-1,-2.984370,-2.827183,-2.670067,-2.513064,-2.356217,-2.199576,-2.043203
1486,11954-3703,3.72530867e0,0,6.21319111e-1,6.05742815e-1,5.80487258e-1,5.46569145e-1,5.05333160e-1,4.58379332e-1,4.07477854e-1,0.177675,0.355207,0.532447,0.709229,0.885363,1.060621,1.234719
1487,11830-3703,3.72505201e0,0,5.88560718e-1,5.79048833e-1,5.63473874e-1,5.42242639e-1,5.15904145e-1,4.85130168e-1,4.50691633e-1,0.183301,0.366588,0.549850,0.733073,0.916241,1.099339,1.282348
1488,10494-3702,3.70810654e0,0,5.94291497e-1,5.81981332e-1,5.62499020e-1,5.37294000e-1,5.08200967e-1,4.77268739e-1,4.46570989e-1,0.082437,0.163479,0.241743,0.315881,0.384633,0.446914,0.501952
1489,11759-3703,3.70745096e0,0,6.44667551e-1,6.23973401e-1,5.90691971e-1,5.46544773e-1,4.93766588e-1,4.34948248e-1,3.72858426e-1,-2.958086,-2.774752,-2.591772,-2.409345,-2.227701,-2.047115,-1.867935
1490,8567-3703,3.70125836e0,0,4.91008705e-1,4.98752729e-1,5.10819639e-1,5.25999424e-1,5.42697060e-1,5.59030094e-1,5.72950713e-1,0.083784,0.169820,0.260117,0.356260,0.459333,0.569943,0.688297
1491,9510-3703,3.70057954e0,0,7.37896900e-1,6.96211584e-1,6.31007864e-1,5.48225347e-1,4.55296980e-1,3.60385431e-1,2.71555436e-1,0.174544,0.347048,0.515191,0.676017,0.825403,0.957213,1.061929
1492,9867-3704,3.69239388e0,0,6.49668335e-1,6.27510580e-1,5.91955738e-1,5.44955328e-1,4.89030529e-1,4.27084173e-1,3.62189195e-1,-2.926028,-2.710446,-2.494827,-2.279153,-2.063404,-1.847563,-1.631609
1493,8245-1902,3.68775981e0,0,5.63921244e-1,5.57782525e-1,5.47679309e-1,5.33800009e-1,5.16401413e-1,4.95801941e-1,4.72373371e-1,0.118505,0.236945,0.355256,0.473368,0.591212,0.708707,0.825771
1494,7960-6101,3.68752125e0,0,7.24784524e-1,6.85893130e-1,6.24914230e-1,5.47111039e-1,4.58933023e-1,3.67259039e-1,2.78626267e-1,-2.893007,-2.644731,-2.397102,-2.150516,-1.905474,-1.662661,-1.423070
1495,8461-1901,3.68407072e0,0,5.48459782e-1,5.44867328e-1,5.38921643e-1,5.30684729e-1,5.20242177e-1,5.07701986e-1,4.93193071e-1,-3.046046,-2.950494,-2.854931,-2.759352,-2.663751,-2.568122,-2.472459
1496,8991-3702,3.68368436e0,0,5.21406275e-1,5.22194414e-1,5.23496876e-1,5.25297117e-1,5.27572196e-1,5.30292994e-1,5.33424491e-1,0.022372,0.044817,0.067406,0.090207,0.113288,0.136711,0.160534
1497,12511-3703,3.67783106e0,0,6.11527218e-1,5.96515019e-1,5.72157083e-1,5.39409593e-1,4.99538797e-1,4.54054075e-1,4.04629278e-1,-2.968561,-2.795547,-2.622569,-2.449649,-2.276809,-2.104079,-1.931492
1498,11953-6103,3.67328149e0,0,5.57145858e-1,5.52234679e-1,5.43932702e-1,5.32093394e-1,5.16564793e-1,4.97234341e-1,4.74075720e-1,0.130694,0.261885,0.394045,0.527613,0.662971,0.800442,0.940289
1499,8084-3701,3.67154710e0,0,6.00775648e-1,5.87548238e-1,5.66057215e-1,5.37103718e-1,5.01749633e-1,4.61262414e-1,4.17050237e-1,-2.994686,-2.848003,-2.701775,-2.556250,-2.411701,-2.268439,-2.126827
1500,8553-12703,3.66993878e0,0,6.77212734e-1,6.48749413e-1,6.03403430e-1,5.44123018e-1,4.74673133e-1,3.99316504e-1,3.22460546e-1,-2.925103,-2.708653,-2.492290,-2.276071,-2.060077,-1.844423,-1.629290
1501,10514-6104,3.66546191e0,0,5.74530372e-1,5.65910694e-1,5.51815433e-1,5.32638272e-1,5.08905881e-1,4.81255135e-1,4.50406122e-1,0.153406,0.306664,0.459624,0.612134,0.764036,0.915166,1.065355
1502,8311-3703,3.66543151e0,0,5.57937896e-1,5.52300111e-1,5.43003972e-1,5.30197519e-1,5.14083625e-1,4.94915749e-1,4.72992639e-1,-3.039615,-2.937643,-2.835681,-2.733735,-2.631812,-2.529918,-2.428059
1503,8255-6101,3.66463599e0,0,6.04242676e-1,5.93278185e-1,5.73777956e-1,5.44401522e-1,5.04136793e-1,4.52887777e-1,3.91911082e-1,0.382662,0.762885,1.138454,1.507515,1.868611,2.220578,2.562345
1504,8145-3702,3.66158295e0,0,6.07780331e-1,5.92997858e-1,5.69021971e-1,5.36806294e-1,4.97611077e-1,4.52934304e-1,4.04431111e-1,-2.963050,-2.784457,-2.605760,-2.426901,-2.247809,-2.068402,-1.888574
1505,8319-3703,3.66115918e0,0,6.81811553e-1,6.51727104e-1,6.04051384e-1,5.42221674e-1,4.70561291e-1,3.93860330e-1,3.16925846e-1,0.223091,0.445539,0.666641,0.885579,1.101322,1.312498,1.517183
1506,9194-6103,3.65762194e0,0,6.26956277e-1,6.08107315e-1,5.77815796e-1,5.37684877e-1,4.89801437e-1,4.36593005e-1,3.80663236e-1,0.216695,0.432620,0.646963,0.858822,1.067153,1.270701,1.467915
1507,8603-6102,3.65580179e0,0,7.53295865e-1,7.07231623e-1,6.35168225e-1,5.43680057e-1,4.41041892e-1,3.36417060e-1,2.38967071e-1,0.145389,0.288994,0.428745,0.561903,0.684429,0.789789,0.866533
1508,10837-3704,3.64908843e0,0,5.25877320e-1,5.25172329e-1,5.23989122e-1,5.22315617e-1,5.20135395e-1,5.17428185e-1,5.14170466e-1,0.062648,0.125335,0.188099,0.250976,0.314003,0.377212,0.440633
1509,8245-6102,3.64378293e0,0,6.85429040e-1,6.54180183e-1,6.04661581e-1,5.40448166e-1,4.66038670e-1,3.86420885e-1,3.06604409e-1,-2.901039,-2.660357,-2.419408,-2.178031,-1.936027,-1.693129,-1.448966
1510,8132-3702,3.64281592e0,0,6.63475109e-1,6.36992878e-1,5.94741238e-1,5.39378028e-1,4.74301166e-1,4.03364468e-1,3.30563035e-1,-2.920647,-2.699799,-2.479150,-2.258823,-2.038965,-1.819772,-1.601511
1511,9485-3702,3.64209630e0,0,6.04431737e-1,5.89799852e-1,5.66043494e-1,5.34073619e-1,4.95099226e-1,4.50565792e-1,4.02082579e-1,-2.956177,-2.770677,-2.585005,-2.399063,-2.212742,-2.025909,-1.838402
1512,8082-3701,3.64052663e0,0,5.94872782e-1,5.81967497e-1,5.60968972e-1,5.32616617e-1,4.97895095e-1,4.57987268e-1,4.14218400e-1,-2.986004,-2.830534,-2.675304,-2.520446,-2.366107,-2.212457,-2.059700
1513,8254-3702,3.63828104e0,0,7.56850696e-1,7.08735668e-1,6.33993608e-1,5.40018892e-1,4.35729920e-1,3.30408370e-1,2.32543883e-1,0.281203,0.562656,0.844644,1.127537,1.411867,1.698475,1.988811
1514,9876-6103,3.63488607e0,0,5.92786513e-1,5.80375195e-1,5.60052416e-1,5.32355428e-1,4.98022452e-1,4.57978347e-1,4.13315722e-1,0.187356,0.374553,0.561427,0.747803,0.933485,1.118250,1.301827
1515,8158-3702,3.63233663e0,0,5.19054521e-1,5.19030945e-1,5.18991653e-1,5.18936649e-1,5.18865936e-1,5.18779519e-1,5.18677405e-1,-3.134618,-3.127644,-3.120670,-3.113696,-3.106722,-3.099747,-3.092773
1516,9504-3701,3.63070397e0,0,7.05036010e-1,6.69015971e-1,6.12254583e-1,5.39284854e-1,4.55751920e-1,3.67819222e-1,2.81541407e-1,0.287592,0.574919,0.861684,1.147519,1.431923,1.714165,1.993102
1517,9502-3703,3.62973150e0,0,5.87039781e-1,5.75311978e-1,5.56187557e-1,5.30280449e-1,4.98413217e-1,4.61582290e-1,4.20916230e-1,0.153599,0.307360,0.461454,0.616065,0.771399,0.927697,1.085246
1518,12080-9101,3.62382946e0,0,7.82450606e-1,7.27359030e-1,6.42414865e-1,5.36849514e-1,4.21617271e-1,3.07838508e-1,2.05299667e-1,-2.841612,-2.541438,-2.240846,-1.939548,-1.637127,-1.332908,-1.025685
1519,9025-3704,3.62341689e0,0,6.99818977e-1,6.64516025e-1,6.08940986e-1,5.37593784e-1,4.56040226e-1,3.70299262e-1,2.86207631e-1,0.274342,0.548764,0.823351,1.098200,1.373431,1.649197,1.925711
1520,8711-3704,3.62285986e0,0,7.44210339e-1,6.98577302e-1,6.27528661e-1,5.37875093e-1,4.37864639e-1,3.36135705e-1,2.40668124e-1,-2.872305,-2.603013,-2.333709,-2.064379,-1.794993,-1.525494,-1.255767
1521,7980-3701,3.62229909e0,0,5.73592754e-1,5.64119643e-1,5.48612154e-1,5.27481560e-1,5.01283526e-1,4.70698931e-1,4.36510523e-1,0.164219,0.328296,0.492082,0.655420,0.818137,0.980035,1.140886
1522,11976-3701,3.62207920e0,0,5.74053755e-1,5.64501543e-1,5.48862991e-1,5.27550347e-1,5.01120289e-1,4.70254459e-1,4.35735812e-1,-2.993028,-2.844416,-2.695708,-2.546854,-2.397797,-2.248477,-2.098821
1523,8998-3703,3.62085868e0,0,5.85688613e-1,5.73961954e-1,5.54846212e-1,5.28963952e-1,4.97146970e-1,4.60399094e-1,4.19851885e-1,-2.987472,-2.833397,-2.679412,-2.525568,-2.371917,-2.218518,-2.065438
1524,11012-6104,3.61704911e0,0,6.26588846e-1,6.06843738e-1,5.75080491e-1,5.32929831e-1,4.82508156e-1,4.26268199e-1,3.66829843e-1,0.234439,0.468911,0.703453,0.938107,1.172930,1.407997,1.643414
1525,8256-12704,3.61611870e0,0,5.99855387e-1,5.85351647e-1,5.61813779e-1,5.30158878e-1,4.91602222e-1,4.47593717e-1,3.99743068e-1,-2.988464,-2.835476,-2.682774,-2.530521,-2.378902,-2.228137,-2.078498
1526,10517-3704,3.61598739e0,0,5.84168552e-1,5.72670625e-1,5.53885942e-1,5.28368709e-1,4.96867978e-1,4.60301609e-1,4.19723976e-1,0.218615,0.437156,0.655548,0.873717,1.091584,1.309070,1.526088
1527,8946-6102,3.60497111e0,0,6.50369610e-1,6.25311336e-1,5.85326267e-1,5.32927894e-1,4.71340779e-1,4.04239375e-1,3.35455844e-1,0.186126,0.371518,0.555379,0.736784,0.914581,1.087262,1.252761
1528,11833-3704,3.60307594e0,0,8.00701194e-1,7.39268136e-1,6.45525696e-1,5.30846053e-1,4.08301831e-1,2.90540479e-1,1.87892551e-1,0.338196,0.676562,1.015302,1.354704,1.695216,2.037615,2.383374
1529,8726-6104,3.60209666e0,0,7.02800456e-1,6.67020408e-1,6.10324857e-1,5.36854851e-1,4.51902262e-1,3.61461952e-1,2.71731879e-1,0.182146,0.363914,0.544881,0.724519,0.902103,1.076541,1.246034
1530,12491-6101,3.59973857e0,0,5.65581312e-1,5.56938549e-1,5.42781020e-1,5.23470143e-1,4.99493902e-1,4.71449751e-1,4.40023890e-1,0.124502,0.248884,0.373023,0.496788,0.620038,0.742617,0.864345
1531,9088-6104,3.59780490e0,0,5.58436803e-1,5.50991197e-1,5.38776878e-1,5.22079372e-1,5.01284706e-1,4.76866377e-1,4.49369568e-1,0.134435,0.268771,0.402906,0.536734,0.670145,0.803019,0.935224
1532,9188-3703,3.59757276e0,0,6.04208955e-1,5.88358979e-1,5.62692888e-1,5.28291666e-1,4.86582074e-1,4.39256855e-1,3.88181344e-1,-2.976883,-2.812372,-2.648273,-2.484819,-2.322285,-2.161004,-2.001398
1533,10226-12701,3.59710549e0,0,5.93935251e-1,5.80079403e-1,5.57551966e-1,5.27172752e-1,4.90033832e-1,4.47447550e-1,4.00884735e-1,-2.979206,-2.816848,-2.654548,-2.492338,-2.330256,-2.168346,-2.006663
1534,8568-3703,3.59478499e0,0,6.36031864e-1,6.13774274e-1,5.78077549e-1,5.30928130e-1,4.74892479e-1,4.12925576e-1,3.48155113e-1,-2.937962,-2.734397,-2.530969,-2.327758,-2.124862,-1.922405,-1.720552
1535,12489-12701,3.59317253e0,0,6.47152416e-1,6.22307070e-1,5.82710088e-1,5.30901756e-1,4.70103687e-1,4.03929096e-1,3.36068417e-1,-2.913933,-2.686329,-2.458840,-2.231534,-2.004488,-1.777802,-1.551603
1536,9869-1902,3.59248796e0,0,3.60086580e-1,3.89826383e-1,4.36696191e-1,4.96895844e-1,5.65570877e-1,6.37225791e-1,7.06186293e-1,0.427726,0.843585,1.239839,1.614025,1.967481,2.303341,2.625153
1537,11950-3701,3.58446734e0,0,5.28047828e-1,5.25475607e-1,5.21210456e-1,5.15284971e-1,5.07744327e-1,4.98645826e-1,4.88058325e-1,-3.067892,-2.994190,-2.920486,-2.846780,-2.773071,-2.699357,-2.625638
1538,12085-6101,3.57839184e0,0,5.95536008e-1,5.80812140e-1,5.56932367e-1,5.24848805e-1,4.85821134e-1,4.41348953e-1,3.93092437e-1,0.181517,0.362877,0.543913,0.724445,0.904264,1.083126,1.260725
1539,8712-9102,3.57533809e0,0,6.55490237e-1,6.27673859e-1,5.83733576e-1,5.27066769e-1,4.61987315e-1,3.93336168e-1,3.26050169e-1,0.134333,0.266843,0.395552,0.518145,0.631757,0.732719,0.816285
1540,8718-9102,3.57274495e0,0,5.60843130e-1,5.52372472e-1,5.38486202e-1,5.19523431e-1,4.95942982e-1,4.68308213e-1,4.37268524e-1,-2.994903,-2.848180,-2.701394,-2.554507,-2.407483,-2.260278,-2.112845
1541,8439-6101,3.56665075e0,0,7.43610363e-1,6.95967128e-1,6.22029956e-1,5.29200405e-1,4.26373175e-1,3.22757021e-1,2.26712703e-1,-2.860969,-2.580423,-2.300050,-2.019978,-1.740406,-1.461667,-1.184354
1542,11014-12701,3.56391346e0,0,5.92679009e-1,5.78113407e-1,5.54480972e-1,5.22710733e-1,4.84033035e-1,4.39914532e-1,3.91981777e-1,-2.974341,-2.807177,-2.640194,-2.473493,-2.307185,-2.141403,-1.976307
1543,8450-1902,3.56314041e0,0,5.70313953e-1,5.59883007e-1,5.42846303e-1,5.19711040e-1,4.91157836e-1,4.58013003e-1,4.21215268e-1,0.166168,0.332299,0.498355,0.664294,0.830068,0.995621,1.160884
1544,11020-1901,3.55774243e0,0,5.39674398e-1,5.34512997e-1,5.26001055e-1,5.14272085e-1,4.99508922e-1,4.81939754e-1,4.61833219e-1,0.140539,0.281066,0.421565,0.562024,0.702427,0.842757,0.982996
1545,12089-3703,3.55747033e0,0,6.21424257e-1,6.01089630e-1,5.68368058e-1,5.24929891e-1,4.72952646e-1,4.14975212e-1,3.53730639e-1,-2.942853,-2.744081,-2.545245,-2.346304,-2.147213,-1.947911,-1.748320
1546,11827-6104,3.55725863e0,0,6.55694345e-1,6.28187334e-1,5.84346033e-1,5.27040819e-1,4.60014652e-1,3.87601955e-1,3.14373488e-1,0.234868,0.469215,0.702429,0.933695,1.161868,1.385276,1.601445
1547,11823-9102,3.55359533e0,0,5.56919300e-1,5.48654709e-1,5.35103382e-1,5.16592009e-1,4.93562676e-1,4.66558309e-1,4.36204943e-1,-3.011094,-2.880594,-2.750093,-2.619589,-2.489081,-2.358568,-2.228045
1548,10220-12704,3.54846909e0,0,6.96264077e-1,6.59475214e-1,6.01587623e-1,5.27342616e-1,4.42631551e-1,3.53864321e-1,2.67303685e-1,-2.889489,-2.637272,-2.384813,-2.131955,-1.878487,-1.624097,-1.368297
1549,9867-12703,3.54468519e0,0,6.90822302e-1,6.55122167e-1,5.98887932e-1,5.26642498e-1,4.44014790e-1,3.57144143e-1,2.72051360e-1,-2.894930,-2.648319,-2.401817,-2.155488,-1.909418,-1.663718,-1.418555
1550,8150-1901,3.54383474e0,0,5.34398232e-1,5.29802326e-1,5.22211667e-1,5.11728755e-1,4.98494561e-1,4.82686059e-1,4.64513140e-1,-3.036913,-2.932201,-2.827422,-2.722541,-2.617520,-2.512322,-2.406902
1551,8158-6103,3.54262989e0,0,4.55357592e-1,4.63841368e-1,4.77765697e-1,4.96813350e-1,5.20551485e-1,5.48442556e-1,5.79857837e-1,-0.021232,-0.041120,-0.058449,-0.072227,-0.081746,-0.086588,-0.086596
1552,11952-12702,3.54070704e0,0,7.35482385e-1,6.89009608e-1,6.16751913e-1,5.25774421e-1,4.24623714e-1,3.22233938e-1,2.26831058e-1,-2.865994,-2.590220,-2.314067,-2.037276,-1.759475,-1.480083,-1.198099
1553,8086-9101,3.54041167e0,0,5.71951508e-1,5.60995863e-1,5.42936049e-1,5.18099645e-1,4.86994224e-1,4.50340306e-1,4.09094078e-1,0.257683,0.514555,0.769806,1.022611,1.272128,1.517466,1.757646
1554,9866-1902,3.53396984e0,0,5.55981572e-1,5.47392972e-1,5.33315083e-1,5.14094329e-1,4.90199559e-1,4.62206638e-1,4.30779684e-1,-2.994742,-2.847845,-2.700851,-2.553710,-2.406365,-2.258754,-2.110803
1555,9088-9101,3.53300844e0,0,6.95643245e-1,6.58188873e-1,5.99434464e-1,5.24419081e-1,4.39334632e-1,3.50810383e-1,2.65177765e-1,-2.884478,-2.627271,-2.369872,-2.112155,-1.853954,-1.595029,-1.335013
1556,9505-6101,3.53073739e0,0,6.23695994e-1,6.02311929e-1,5.67867615e-1,5.22086592e-1,4.67245824e-1,4.06049484e-1,3.41479955e-1,0.139992,0.279465,0.417851,0.554483,0.688515,0.818807,0.943743
1557,8995-3703,3.53056263e0,0,6.61313447e-1,6.31662302e-1,5.84621887e-1,5.23526055e-1,4.52600321e-1,3.76575439e-1,3.00263178e-1,0.331224,0.663077,0.996249,1.331573,1.670130,2.013412,2.363607
1558,9508-9102,3.52782379e0,0,5.71987747e-1,5.60340165e-1,5.41348533e-1,5.15625316e-1,4.83990861e-1,4.47438495e-1,4.07092674e-1,-3.002423,-2.863344,-2.724454,-2.585855,-2.447666,-2.310027,-2.173104
1559,8249-3702,3.52731875e0,0,6.03238007e-1,5.85533220e-1,5.56985852e-1,5.18968141e-1,4.73269616e-1,4.21978378e-1,3.67345540e-1,-2.946365,-2.751250,-2.556366,-2.361845,-2.167836,-1.974519,-1.782119
1560,8713-9101,3.52544653e0,0,5.77833094e-1,5.63628024e-1,5.41280632e-1,5.12531969e-1,4.79372797e-1,4.43712091e-1,4.07087922e-1,0.115103,0.229024,0.340689,0.449240,0.554146,0.655298,0.753052
1561,8241-6103,3.52012529e0,0,5.22613365e-1,5.19114109e-1,5.13459157e-1,5.05906401e-1,4.96801565e-1,4.86563622e-1,4.75667072e-1,0.025816,0.051194,0.075705,0.098936,0.120500,0.140049,0.157296
1562,9181-9101,3.51047565e0,0,6.28420553e-1,6.05178634e-1,5.67984579e-1,5.19021259e-1,4.61095696e-1,3.97418367e-1,3.31356558e-1,-2.916180,-2.690727,-2.465194,-2.239532,-2.013683,-1.787574,-1.561105
1563,9041-1901,3.50654489e0,0,5.30438990e-1,5.25594405e-1,5.17604222e-1,5.06592888e-1,4.92731179e-1,4.76232841e-1,4.57350367e-1,0.140332,0.280551,0.420544,0.560194,0.699376,0.837961,0.975808
1564,9889-9102,3.50480482e0,0,4.08358800e-1,4.28856202e-1,4.60033982e-1,4.97803069e-1,5.37162539e-1,5.72809817e-1,5.99780406e-1,0.066739,0.141180,0.228834,0.332121,0.450814,0.583046,0.726198
1565,10514-6102,3.50436450e0,0,5.29629837e-1,5.24878725e-1,5.17037608e-1,5.06220974e-1,4.92585911e-1,4.76328999e-1,4.57682443e-1,-3.043976,-2.946391,-2.848866,-2.751436,-2.654132,-2.556993,-2.460056
1566,8950-6104,3.50118051e0,0,4.78816754e-1,4.82519584e-1,4.88548614e-1,4.96685081e-1,5.06613892e-1,5.17918390e-1,5.30078197e-1,0.021854,0.044356,0.068126,0.093741,0.121703,0.152429,0.186238
1567,12620-12705,3.50065890e0,0,6.52406793e-1,6.23647545e-1,5.78029036e-1,5.18779937e-1,4.49966243e-1,3.76101462e-1,3.01727882e-1,-2.910604,-2.679846,-2.449571,-2.220067,-1.991698,-1.764940,-1.540464
1568,9025-1901,3.49999170e0,0,5.60389217e-1,5.50141294e-1,5.33389804e-1,5.10614240e-1,4.82460329e-1,4.49715792e-1,4.13281029e-1,-2.998384,-2.855202,-2.712072,-2.569023,-2.426087,-2.283302,-2.140710
1569,8254-6101,3.49989525e0,0,5.39608856e-1,5.33037586e-1,5.22228850e-1,5.07393729e-1,4.88819880e-1,4.66863974e-1,4.41942375e-1,-3.009449,-2.877283,-2.745073,-2.612796,-2.480425,-2.347935,-2.215295
1570,8994-6101,3.49893219e0,0,7.52316866e-1,6.99882718e-1,6.18994584e-1,5.18384905e-1,4.08420055e-1,2.99631571e-1,2.01301491e-1,-2.849690,-2.557553,-2.264917,-1.971436,-1.676613,-1.379659,-1.079168
1571,11866-1901,3.49768795e0,0,5.36383020e-1,5.30327042e-1,5.20351103e-1,5.06628622e-1,4.89397211e-1,4.68953608e-1,4.45647348e-1,-3.009310,-2.876970,-2.744513,-2.611879,-2.479005,-2.345825,-2.212266
1572,12093-12703,3.49695551e0,0,6.18313310e-1,5.96740407e-1,5.62139213e-1,5.16432103e-1,4.62104056e-1,4.02018277e-1,3.39208145e-1,-2.941030,-2.740685,-2.540791,-2.341613,-2.143467,-1.946755,-1.752010
1573,11954-12705,3.49673102e0,0,5.78200722e-1,5.64560609e-1,5.42395862e-1,5.12529820e-1,4.76057277e-1,4.34290630e-1,3.88696102e-1,-2.968994,-2.796369,-2.623687,-2.450920,-2.278033,-2.104987,-1.931737
1574,9508-9101,3.49253721e0,0,6.02803278e-1,5.84284138e-1,5.54422838e-1,5.14657118e-1,4.66868741e-1,4.13264173e-1,3.56236927e-1,-2.945447,-2.749206,-2.552769,-2.356022,-2.158829,-1.961019,-1.762370
1575,8713-1902,3.49186099e0,0,5.71929031e-1,5.59315207e-1,5.38791723e-1,5.11082872e-1,4.77154019e-1,4.38166170e-1,3.95421971e-1,-2.989702,-2.837935,-2.686420,-2.535299,-2.384729,-2.234895,-2.086024
1576,8565-3704,3.48790224e0,0,6.20427653e-1,5.98157203e-1,5.62470842e-1,5.15399996e-1,4.59568771e-1,3.97997405e-1,3.33880373e-1,-2.957257,-2.773248,-2.589918,-2.407670,-2.227005,-2.048566,-1.873233
1577,8724-9102,3.48078368e0,0,6.84038810e-1,6.47627482e-1,5.90394128e-1,5.17102080e-1,4.33646876e-1,3.46407177e-1,2.61567124e-1,-2.890321,-2.639137,-2.388138,-2.137440,-1.887192,-1.637601,-1.388985
1578,8618-6101,3.48011154e0,0,5.97050539e-1,5.79238882e-1,5.50521499e-1,5.12283201e-1,4.66331738e-1,4.14779256e-1,3.59906429e-1,-2.959673,-2.777850,-2.596224,-2.414908,-2.234033,-2.053760,-1.874291
1579,8622-3702,3.47996116e0,0,4.44728105e-1,4.55739385e-1,4.72750486e-1,4.93885789e-1,5.16777515e-1,5.38793055e-1,5.57286823e-1,0.366387,0.729459,1.086502,1.435774,1.776580,2.109109,2.434185
1580,8725-12701,3.47849683e0,0,6.46635369e-1,6.18357632e-1,5.73511254e-1,5.15278205e-1,4.47657843e-1,3.75077846e-1,3.01978679e-1,-2.909488,-2.677578,-2.446068,-2.215195,-1.985244,-1.756579,-1.529694
1581,8622-6103,3.47476566e0,0,5.95996948e-1,5.78312217e-1,5.49763369e-1,5.11678275e-1,4.65799068e-1,4.14175351e-1,3.59040432e-1,-2.950386,-2.759194,-2.568031,-2.376914,-2.185864,-1.994903,-1.804065
1582,12084-3701,3.47475195e0,0,5.47998959e-1,5.39320813e-1,5.25100104e-1,5.05692774e-1,4.81580733e-1,4.53356171e-1,4.21702390e-1,-2.998239,-2.854812,-2.711234,-2.567425,-2.423293,-2.278736,-2.133634
1583,9026-6103,3.46990447e0,0,5.59156164e-1,5.48311838e-1,5.30620253e-1,5.06637499e-1,4.77108310e-1,4.42934323e-1,4.05136087e-1,-2.991232,-2.840949,-2.690824,-2.540946,-2.391411,-2.242330,-2.093837
1584,12495-6101,3.46861218e0,0,5.93450306e-1,5.76054301e-1,5.47975598e-1,5.10525204e-1,4.65421259e-1,4.14682196e-1,3.60503316e-1,0.197097,0.394009,0.590537,0.786462,0.981522,1.175398,1.367675
1585,8154-6101,3.46819315e0,0,6.71161801e-1,6.37157214e-1,5.83585148e-1,5.14748388e-1,4.36014503e-1,3.53257921e-1,2.72268176e-1,0.179881,0.358792,0.535665,0.709219,0.877783,1.039021,1.189437
1586,8442-6101,3.46818660e0,0,6.75627135e-1,6.40702266e-1,5.85716810e-1,5.15126164e-1,4.34461622e-1,3.49735470e-1,2.66817137e-1,-2.897567,-2.653594,-2.409728,-2.166030,-1.922566,-1.679420,-1.436692
