energy_ev,n,k
16569.1,0.999993201,1.76885519e-07
16837.1,0.999993421,1.66509554e-07
17109.4,0.999993633,1.56744205e-07
17386.1,0.999993838,1.47552502e-07
17667.4,0.999994037,1.38898156e-07
17953.1,0.99999423,1.30755787e-07
18243.5,0.999994417,1.23088733e-07
18538.6,0.999994598,1.1587361e-07
18838.4,0.999994773,1.09082641e-07
19143.1,0.999994942,1.02690164e-07
19452.7,0.999995107,9.66735963e-08
19767.4,0.999995266,9.10094957e-08
20087.1,0.99999542,8.56790867e-08
20412.0,0.99999557,8.06616899e-08
20742.1,0.999995715,7.59394034e-08
21077.6,0.999995856,7.14941146e-08
21418.5,0.999995992,6.73102687e-08
21765.0,0.999996125,6.33715399e-08
22117.0,0.999996254,5.96649004e-08
22474.7,0.999996379,5.61758887e-08
22838.2,0.999996501,5.28916327e-08
23207.6,0.999996621,4.98002254e-08
23583.0,0.999996738,4.68902108e-08
23964.4,0.999996854,4.4151301e-08
24352.0,0.999996969,4.15730209e-08
24745.9,0.999997088,3.91460263e-08
25146.2,0.999997222,3.68613025e-08
25513.9,0.999997782,3.49092994e-08
25514.1,0.999997782,2.20909287e-07
25552.9,0.999997436,2.19720131e-07
25966.2,0.999997373,2.07543351e-07
26386.1,0.999997417,1.96012901e-07
26812.9,0.999997475,1.85094823e-07
27246.6,0.999997538,1.74760651e-07
27687.3,0.999997604,1.64981165e-07
28135.1,0.99999767,1.5572852e-07
28590.2,0.999997735,1.46975157e-07
29052.6,0.9999978,1.38697449e-07
29522.5,0.999997864,1.30869902e-07
30000.0,0.999997928,1.23469304e-07
