==PROF== Connected to process 1477064 (/home/eirikr/Github/open_gororoba/.cache/cargo-default-target/release/deps/gpu_sparse_1024-32f6a2758b8dee11)
==PROF== Disconnected from process 1477064
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value","Rule Name","Rule Type","Rule Description","Estimated Speedup Type","Estimated Speedup"
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Uses Green Context","","0",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Launch Statistics","Waves Per SM","","2009.05",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Block Limit SM","block","24",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Block Limit Registers","block","1",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Block Limit Shared Mem","block","8",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Block Limit Warps","block","3",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Theoretical Active Warps per SM","warp","16",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Theoretical Occupancy","%","33.33",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Achieved Occupancy","%","30.95",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","Achieved Active Warps Per SM","warp","14.86",
"0","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Occupancy","","","","TheoreticalOccupancy","OPT","The 4.00 theoretical warps per scheduler this kernel can issue according to its occupancy are below the hardware maximum of 12. This kernel's theoretical occupancy (33.3%) is limited by the number of required registers.","global","24.35"
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Frequency","hz","10491491683.77",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Frequency","hz","2624627389.25",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","77398706",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Memory Throughput","%","76.92",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","DRAM Throughput","%","76.92",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Duration","ns","29487072",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","14.92",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","L2 Cache Throughput","%","21.85",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","SM Active Cycles","cycle","76901664.93",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","21.13",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","SpeedOfLight","","","","SOLBottleneck","OPT","Memory is more heavily utilized than Compute: Look at the Memory Workload Analysis section to identify the DRAM bottleneck. Check memory replay (coalescing) metrics to make sure you're efficiently utilizing the bytes transferred. Also consider whether it is possible to do more work per memory access (kernel fusion) or whether there are values you can (re)compute.","",""
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Local Memory Spilling Requests","","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Local Memory Spilling Request Overhead","%","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L2 Sector Promotion Misses","%","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Shared Memory Spilling Requests","","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Shared Memory Spilling Request Overhead","%","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Memory Throughput","byte/s","387365805326.48",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Mem Busy","%","13.71",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Max Bandwidth","%","76.92",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L1/TEX Hit Rate","%","23.68",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L2 Persisting Size","byte","9437184",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L2 Compression Success Rate","%","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L2 Compression Ratio","","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L2 Compression Input Sectors","sector","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","L2 Hit Rate","%","59.08",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Memory Workload Analysis","Mem Pipes Busy","%","5.59",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Scheduler Statistics","One or More Eligible","%","21.82",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Scheduler Statistics","Issued Warp Per Scheduler","","0.22",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Scheduler Statistics","No Eligible","%","78.18",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Scheduler Statistics","Active Warps Per Scheduler","warp","3.88",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Scheduler Statistics","Eligible Warps Per Scheduler","warp","0.36",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","SchedulerStats","","","","IssueSlotUtilization","OPT","Every scheduler is capable of issuing one instruction per cycle, but for this workload each scheduler only issues an instruction every 4.6 cycles. This might leave hardware resources underutilized and may lead to less optimal performance. Out of the maximum of 12 warps per scheduler, this workload allocates an average of 3.88 active warps per scheduler, but only an average of 0.36 warps were eligible per cycle. Eligible warps are the subset of active warps that are ready to issue their next instruction. Every cycle with no eligible warp results in no instruction being issued and the issue slot remains unused. To increase the number of eligible warps, avoid possible load imbalances due to highly different execution durations per warp. Reducing stalls indicated on the Warp State Statistics and Source Counters sections can help, too.","local","23.08"
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Local Memory Spilling Requests","byte","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Shared Memory Spilling Requests","byte","0",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Avg. Executed Instructions Per Scheduler","inst","16374458.66",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Executed Instructions","inst","3929870079",
"1","1477064","gpu_sparse_1024-32f6a2758b8dee11","127.0.0.1","lbm_step_sparse_aa","1","7","(512, 1, 1)","(120543, 1, 1)","0","8.9","Instruction Statistics","Avg. Issued Instructions Per Scheduler","inst","16374533.16",
