phi,l_grav,l_avt,action
0.6070,-1.340142,-1.678858,-3.019000
0.6080,-1.339269,-1.693362,-3.032631
0.6090,-1.338387,-1.707929,-3.046315
0.6100,-1.337496,-1.722557,-3.060054
0.6110,-1.336597,-1.737249,-3.073846
0.6120,-1.335690,-1.752002,-3.087692
0.6130,-1.334774,-1.766818,-3.101593
0.6140,-1.333850,-1.781697,-3.115547
0.6150,-1.332918,-1.796637,-3.129555
0.6160,-1.331977,-1.811641,-3.143617
0.6170,-1.331027,-1.826706,-3.157734
0.6180,-1.330069,-1.841834,-3.171904
0.6190,-1.329103,-1.857024,-3.186128
0.6200,-1.328128,-1.872277,-3.200405
0.6210,-1.327145,-1.887592,-3.214737
0.6220,-1.326153,-1.902970,-3.229123
0.6230,-1.325153,-1.918410,-3.243562
0.6240,-1.324144,-1.933912,-3.258056
0.6250,-1.323126,-1.949476,-3.272603
0.6260,-1.322101,-1.965103,-3.287204
0.6270,-1.321066,-1.980793,-3.301859
0.6280,-1.320023,-1.996545,-3.316568
0.6290,-1.318972,-2.012359,-3.331330
0.6300,-1.317911,-2.028235,-3.346147
0.6310,-1.316843,-2.044174,-3.361017
0.6320,-1.315765,-2.060176,-3.375941
0.6330,-1.314679,-2.076239,-3.390919
0.6340,-1.313585,-2.092365,-3.405950
0.6350,-1.312482,-2.108554,-3.421035
0.6360,-1.311370,-2.124805,-3.436175
0.6370,-1.310250,-2.141118,-3.451367
0.6380,-1.309120,-2.157493,-3.466614
0.6390,-1.307983,-2.173931,-3.481914
0.6400,-1.306836,-2.190432,-3.497268
0.6410,-1.305681,-2.206994,-3.512676
0.6420,-1.304518,-2.223620,-3.528137
0.6430,-1.303345,-2.240307,-3.543652
0.6440,-1.302164,-2.257057,-3.559221
0.6450,-1.300974,-2.273869,-3.574843
0.6460,-1.299775,-2.290744,-3.590519
0.6470,-1.298568,-2.307681,-3.606249
0.6480,-1.297352,-2.324680,-3.622032
0.6490,-1.296127,-2.341742,-3.637869
0.6500,-1.294893,-2.358866,-3.653760
0.6510,-1.293651,-2.376053,-3.669704
0.6520,-1.292400,-2.393302,-3.685702
0.6530,-1.291139,-2.410613,-3.701753
0.6540,-1.289871,-2.427987,-3.717858
0.6550,-1.288593,-2.445423,-3.734016
0.6560,-1.287306,-2.462922,-3.750228
0.6570,-1.286011,-2.480483,-3.766493
0.6580,-1.284706,-2.498106,-3.782812
0.6590,-1.283393,-2.515792,-3.799185
0.6600,-1.282071,-2.533540,-3.815611
0.6610,-1.280740,-2.551350,-3.832090
0.6620,-1.279400,-2.569223,-3.848623
0.6630,-1.278051,-2.587158,-3.865209
0.6640,-1.276693,-2.605156,-3.881849
0.6650,-1.275326,-2.623216,-3.898542
0.6660,-1.273951,-2.641338,-3.915288
0.6670,-1.272566,-2.659523,-3.932088
0.6680,-1.271172,-2.677770,-3.948942
0.6690,-1.269769,-2.696079,-3.965848
0.6700,-1.268357,-2.714451,-3.982808
0.6710,-1.266936,-2.732885,-3.999822
0.6720,-1.265506,-2.751382,-4.016888
0.6730,-1.264067,-2.769941,-4.034008
0.6740,-1.262619,-2.788562,-4.051182
0.6750,-1.261162,-2.807246,-4.068408
0.6760,-1.259696,-2.825992,-4.085688
0.6770,-1.258220,-2.844801,-4.103021
0.6780,-1.256736,-2.863672,-4.120407
0.6790,-1.255242,-2.882605,-4.137847
0.6800,-1.253739,-2.901601,-4.155340
0.6810,-1.252227,-2.920659,-4.172886
0.6820,-1.250705,-2.939779,-4.190485
0.6830,-1.249175,-2.958962,-4.208137
0.6840,-1.247635,-2.978207,-4.225842
0.6850,-1.246086,-2.997515,-4.243601
0.6860,-1.244528,-3.016885,-4.261413
0.6870,-1.242960,-3.036317,-4.279277
0.6880,-1.241383,-3.055812,-4.297195
0.6890,-1.239797,-3.075369,-4.315166
0.6900,-1.238201,-3.094989,-4.333190
0.6910,-1.236596,-3.114671,-4.351267
0.6920,-1.234982,-3.134415,-4.369397
0.6930,-1.233358,-3.154222,-4.387580
0.6940,-1.231725,-3.174091,-4.405816
0.6950,-1.230083,-3.194022,-4.424105
0.6960,-1.228431,-3.214016,-4.442447
0.6970,-1.226770,-3.234072,-4.460842
0.6980,-1.225099,-3.254191,-4.479290
0.6990,-1.223418,-3.274372,-4.497790
0.7000,-1.221729,-3.294615,-4.516344
0.7010,-1.220029,-3.314921,-4.534950
0.7020,-1.218320,-3.335289,-4.553609
0.7030,-1.216602,-3.355720,-4.572321
0.7040,-1.214874,-3.376212,-4.591086
0.7050,-1.213136,-3.396768,-4.609904
0.7060,-1.211389,-3.417385,-4.628774
0.7070,-1.209632,-3.438065,-4.647698
0.7080,-1.207866,-3.458808,-4.666673
0.7090,-1.206089,-3.479613,-4.685702
0.7100,-1.204303,-3.500480,-4.704783
0.7110,-1.202508,-3.521409,-4.723917
0.7120,-1.200702,-3.542401,-4.743104
0.7130,-1.198887,-3.563456,-4.762343
0.7140,-1.197062,-3.584573,-4.781635
0.7150,-1.195228,-3.605752,-4.800979
0.7160,-1.193383,-3.626993,-4.820376
0.7170,-1.191529,-3.648297,-4.839826
0.7180,-1.189665,-3.669663,-4.859328
0.7190,-1.187791,-3.691092,-4.878883
0.7200,-1.185907,-3.712583,-4.898490
0.7210,-1.184013,-3.734136,-4.918149
0.7220,-1.182109,-3.755752,-4.937861
0.7230,-1.180195,-3.777430,-4.957625
0.7240,-1.178271,-3.799171,-4.977442
0.7250,-1.176338,-3.820974,-4.997311
0.7260,-1.174394,-3.842839,-5.017233
0.7270,-1.172440,-3.864767,-5.037207
0.7280,-1.170476,-3.886757,-5.057233
0.7290,-1.168502,-3.908809,-5.077311
0.7300,-1.166518,-3.930924,-5.097442
0.7310,-1.164523,-3.953102,-5.117625
0.7320,-1.162519,-3.975341,-5.137860
0.7330,-1.160504,-3.997643,-5.158147
0.7340,-1.158479,-4.020008,-5.178487
0.7350,-1.156444,-4.042434,-5.198878
0.7360,-1.154399,-4.064924,-5.219322
0.7370,-1.152343,-4.087475,-5.239818
0.7380,-1.150277,-4.110089,-5.260366
0.7390,-1.148201,-4.132765,-5.280966
0.7400,-1.146114,-4.155504,-5.301618
0.7410,-1.144017,-4.178305,-5.322322
0.7420,-1.141909,-4.201169,-5.343078
0.7430,-1.139791,-4.224094,-5.363885
0.7440,-1.137663,-4.247083,-5.384745
0.7450,-1.135524,-4.270133,-5.405657
0.7460,-1.133374,-4.293246,-5.426620
0.7470,-1.131214,-4.316422,-5.447636
0.7480,-1.129043,-4.339659,-5.468703
0.7490,-1.126862,-4.362959,-5.489822
0.7500,-1.124670,-4.386322,-5.510992
0.7510,-1.122468,-4.409747,-5.532215
0.7520,-1.120254,-4.433234,-5.553489
0.7530,-1.118030,-4.456784,-5.574814
0.7540,-1.115796,-4.480396,-5.596192
0.7550,-1.113550,-4.504070,-5.617621
0.7560,-1.111294,-4.527807,-5.639101
0.7570,-1.109027,-4.551606,-5.660633
0.7580,-1.106749,-4.575468,-5.682217
0.7590,-1.104460,-4.599392,-5.703852
0.7600,-1.102160,-4.623378,-5.725538
0.7610,-1.099849,-4.647427,-5.747276
0.7620,-1.097527,-4.671538,-5.769065
0.7630,-1.095194,-4.695712,-5.790906
0.7640,-1.092850,-4.719948,-5.812798
0.7650,-1.090495,-4.744246,-5.834741
0.7660,-1.088129,-4.768607,-5.856736
0.7670,-1.085752,-4.793030,-5.878781
0.7680,-1.083363,-4.817515,-5.900878
0.7690,-1.080964,-4.842063,-5.923026
0.7700,-1.078553,-4.866673,-5.945226
0.7710,-1.076130,-4.891346,-5.967476
0.7720,-1.073697,-4.916081,-5.989777
0.7730,-1.071252,-4.940878,-6.012130
0.7740,-1.068795,-4.965738,-6.034533
0.7750,-1.066328,-4.990660,-6.056987
0.7760,-1.063848,-5.015644,-6.079493
0.7770,-1.061358,-5.040691,-6.102049
0.7780,-1.058855,-5.065800,-6.124656
0.7790,-1.056341,-5.090972,-6.147313
0.7800,-1.053816,-5.116206,-6.170022
0.7810,-1.051279,-5.141502,-6.192781
0.7820,-1.048730,-5.166861,-6.215591
0.7830,-1.046169,-5.192282,-6.238452
0.7840,-1.043597,-5.217766,-6.261363
0.7850,-1.041013,-5.243312,-6.284325
0.7860,-1.038417,-5.268920,-6.307337
0.7870,-1.035809,-5.294591,-6.330400
0.7880,-1.033189,-5.320324,-6.353513
0.7890,-1.030557,-5.346119,-6.376677
0.7900,-1.027913,-5.371977,-6.399891
0.7910,-1.025257,-5.397898,-6.423155
0.7920,-1.022589,-5.423880,-6.446470
0.7930,-1.019909,-5.449925,-6.469835
0.7940,-1.017217,-5.476033,-6.493250
0.7950,-1.014513,-5.502202,-6.516715
0.7960,-1.011796,-5.528434,-6.540230
0.7970,-1.009067,-5.554729,-6.563796
0.7980,-1.006325,-5.581086,-6.587411
0.7990,-1.003571,-5.607505,-6.611076
0.8000,-1.000805,-5.633987,-6.634792
0.8010,-0.998026,-5.660531,-6.658557
0.8020,-0.995235,-5.687137,-6.682372
0.8030,-0.992431,-5.713806,-6.706237
0.8040,-0.989614,-5.740538,-6.730151
0.8050,-0.986785,-5.767331,-6.754116
0.8060,-0.983943,-5.794187,-6.778130
0.8070,-0.981088,-5.821105,-6.802193
0.8080,-0.978220,-5.848086,-6.826306
0.8090,-0.975339,-5.875129,-6.850469
0.8100,-0.972446,-5.902235,-6.874681
0.8110,-0.969539,-5.929403,-6.898942
0.8120,-0.966620,-5.956633,-6.923253
0.8130,-0.963687,-5.983926,-6.947613
0.8140,-0.960741,-6.011281,-6.972022
0.8150,-0.957782,-6.038698,-6.996481
0.8160,-0.954810,-6.066178,-7.020988
0.8170,-0.951824,-6.093720,-7.045545
0.8180,-0.948825,-6.121325,-7.070150
0.8190,-0.945813,-6.148992,-7.094805
0.8200,-0.942787,-6.176721,-7.119508
0.8210,-0.939747,-6.204513,-7.144260
0.8220,-0.936694,-6.232367,-7.169061
0.8230,-0.933628,-6.260284,-7.193911
0.8240,-0.930547,-6.288262,-7.218810
0.8250,-0.927453,-6.316304,-7.243757
0.8260,-0.924345,-6.344407,-7.268752
0.8270,-0.921223,-6.372573,-7.293796
0.8280,-0.918087,-6.400802,-7.318888
0.8290,-0.914937,-6.429093,-7.344029
0.8300,-0.911772,-6.457446,-7.369218
0.8310,-0.908594,-6.485861,-7.394455
0.8320,-0.905401,-6.514339,-7.419741
0.8330,-0.902195,-6.542880,-7.445074
0.8340,-0.898973,-6.571482,-7.470456
0.8350,-0.895738,-6.600147,-7.495885
0.8360,-0.892487,-6.628875,-7.521362
0.8370,-0.889222,-6.657665,-7.546887
0.8380,-0.885943,-6.686517,-7.572460
0.8390,-0.882649,-6.715432,-7.598080
0.8400,-0.879340,-6.744409,-7.623748
0.8410,-0.876016,-6.773448,-7.649464
0.8420,-0.872677,-6.802550,-7.675227
0.8430,-0.869323,-6.831714,-7.701037
0.8440,-0.865954,-6.860941,-7.726895
0.8450,-0.862570,-6.890230,-7.752799
0.8460,-0.859170,-6.919581,-7.778751
0.8470,-0.855756,-6.948995,-7.804750
0.8480,-0.852325,-6.978471,-7.830796
0.8490,-0.848880,-7.008009,-7.856889
0.8500,-0.845418,-7.037610,-7.883028
0.8510,-0.841941,-7.067273,-7.909214
0.8520,-0.838448,-7.096999,-7.935447
0.8530,-0.834940,-7.126787,-7.961726
0.8540,-0.831415,-7.156637,-7.988052
0.8550,-0.827874,-7.186550,-8.014424
0.8560,-0.824317,-7.216525,-8.040843
0.8570,-0.820744,-7.246563,-8.067307
0.8580,-0.817155,-7.276663,-8.093818
0.8590,-0.813549,-7.306825,-8.120374
0.8600,-0.809927,-7.337050,-8.146977
0.8610,-0.806288,-7.367337,-8.173625
0.8620,-0.802632,-7.397686,-8.200319
0.8630,-0.798960,-7.428098,-8.227058
0.8640,-0.795271,-7.458572,-8.253843
0.8650,-0.791564,-7.489109,-8.280673
0.8660,-0.787841,-7.519708,-8.307549
0.8670,-0.784100,-7.550369,-8.334469
0.8680,-0.780342,-7.581093,-8.361435
0.8690,-0.776567,-7.611879,-8.388445
0.8700,-0.772773,-7.642727,-8.415501
0.8710,-0.768963,-7.673638,-8.442601
0.8720,-0.765134,-7.704612,-8.469746
0.8730,-0.761288,-7.735647,-8.496935
0.8740,-0.757423,-7.766745,-8.524168
0.8750,-0.753540,-7.797906,-8.551446
0.8760,-0.749639,-7.829129,-8.578768
0.8770,-0.745720,-7.860414,-8.606134
0.8780,-0.741782,-7.891761,-8.633543
0.8790,-0.737825,-7.923171,-8.660997
0.8800,-0.733850,-7.954644,-8.688494
0.8810,-0.729856,-7.986178,-8.716034
0.8820,-0.725842,-8.017776,-8.743618
0.8830,-0.721810,-8.049435,-8.771245
0.8840,-0.717758,-8.081157,-8.798914
0.8850,-0.713686,-8.112941,-8.826627
0.8860,-0.709595,-8.144788,-8.854383
0.8870,-0.705484,-8.176697,-8.882181
0.8880,-0.701353,-8.208668,-8.910021
0.8890,-0.697202,-8.240702,-8.937904
0.8900,-0.693031,-8.272798,-8.965829
0.8910,-0.688839,-8.304957,-8.993796
0.8920,-0.684627,-8.337178,-9.021804
0.8930,-0.680394,-8.369461,-9.049855
0.8940,-0.676140,-8.401807,-9.077946
0.8950,-0.671864,-8.434215,-9.106079
0.8960,-0.667568,-8.466685,-9.134253
0.8970,-0.663250,-8.499218,-9.162468
0.8980,-0.658911,-8.531813,-9.190724
0.8990,-0.654549,-8.564471,-9.219020
0.9000,-0.650166,-8.597191,-9.247357
0.9010,-0.645760,-8.629974,-9.275734
0.9020,-0.641332,-8.662818,-9.304151
0.9030,-0.636882,-8.695725,-9.332607
0.9040,-0.632408,-8.728695,-9.361103
0.9050,-0.627912,-8.761727,-9.389639
0.9060,-0.623392,-8.794821,-9.418213
0.9070,-0.618849,-8.827978,-9.446827
0.9080,-0.614282,-8.861197,-9.475479
0.9090,-0.609691,-8.894478,-9.504169
0.9100,-0.605076,-8.927822,-9.532898
0.9110,-0.600436,-8.961229,-9.561665
0.9120,-0.595772,-8.994697,-9.590469
0.9130,-0.591083,-9.028228,-9.619311
0.9140,-0.586369,-9.061822,-9.648190
0.9150,-0.581629,-9.095477,-9.677106
0.9160,-0.576863,-9.129195,-9.706059
0.9170,-0.572072,-9.162976,-9.735048
0.9180,-0.567254,-9.196819,-9.764073
0.9190,-0.562410,-9.230724,-9.793134
0.9200,-0.557539,-9.264692,-9.822231
0.9210,-0.552640,-9.298722,-9.851362
0.9220,-0.547715,-9.332814,-9.880529
0.9230,-0.542761,-9.366969,-9.909730
0.9240,-0.537779,-9.401186,-9.938966
0.9250,-0.532769,-9.435466,-9.968235
0.9260,-0.527730,-9.469808,-9.997538
0.9270,-0.522662,-9.504212,-10.026874
0.9280,-0.517564,-9.538679,-10.056243
0.9290,-0.512436,-9.573208,-10.085644
0.9300,-0.507278,-9.607800,-10.115078
0.9310,-0.502089,-9.642454,-10.144543
0.9320,-0.496869,-9.677170,-10.174039
0.9330,-0.491618,-9.711949,-10.203566
0.9340,-0.486334,-9.746790,-10.233124
0.9350,-0.481018,-9.781693,-10.262711
0.9360,-0.475669,-9.816659,-10.292328
0.9370,-0.470287,-9.851687,-10.321974
0.9380,-0.464871,-9.886778,-10.351649
0.9390,-0.459420,-9.921931,-10.381351
0.9400,-0.453935,-9.957146,-10.411081
0.9410,-0.448414,-9.992424,-10.440838
0.9420,-0.442857,-10.027764,-10.470621
0.9430,-0.437264,-10.063166,-10.500430
0.9440,-0.431633,-10.098631,-10.530264
0.9450,-0.425964,-10.134158,-10.560123
0.9460,-0.420257,-10.169748,-10.590005
0.9470,-0.414511,-10.205400,-10.619911
0.9480,-0.408725,-10.241114,-10.649840
0.9490,-0.402898,-10.276891,-10.679790
0.9500,-0.397030,-10.312730,-10.709761
0.9510,-0.391120,-10.348632,-10.739752
0.9520,-0.385167,-10.384596,-10.769763
0.9530,-0.379171,-10.420622,-10.799793
0.9540,-0.373129,-10.456711,-10.829840
0.9550,-0.367042,-10.492862,-10.859904
0.9560,-0.360909,-10.529075,-10.889984
0.9570,-0.354728,-10.565351,-10.920079
0.9580,-0.348498,-10.601690,-10.950188
0.9590,-0.342219,-10.638090,-10.980309
0.9600,-0.335888,-10.674553,-11.010442
0.9610,-0.329506,-10.711079,-11.040585
0.9620,-0.323070,-10.747666,-11.070737
0.9630,-0.316580,-10.784317,-11.100896
0.9640,-0.310033,-10.821029,-11.131062
0.9650,-0.303429,-10.857804,-11.161233
0.9660,-0.296766,-10.894641,-11.191407
0.9670,-0.290041,-10.931541,-11.221582
0.9680,-0.283254,-10.968503,-11.251757
0.9690,-0.276403,-11.005528,-11.281930
0.9700,-0.269484,-11.042614,-11.312099
0.9710,-0.262497,-11.079764,-11.342261
0.9720,-0.255439,-11.116975,-11.372415
0.9730,-0.248308,-11.154249,-11.402557
0.9740,-0.241100,-11.191586,-11.432686
0.9750,-0.233814,-11.228984,-11.462798
0.9760,-0.226445,-11.266445,-11.492890
0.9770,-0.218991,-11.303969,-11.522960
0.9780,-0.211448,-11.341555,-11.553003
0.9790,-0.203812,-11.379203,-11.583015
0.9800,-0.196078,-11.416914,-11.612992
0.9810,-0.188243,-11.454687,-11.642930
0.9820,-0.180300,-11.492522,-11.672822
0.9830,-0.172244,-11.530420,-11.702664
0.9840,-0.164068,-11.568380,-11.732448
0.9850,-0.155765,-11.606403,-11.762168
0.9860,-0.147327,-11.644488,-11.791815
0.9870,-0.138743,-11.682635,-11.821379
0.9880,-0.130004,-11.720845,-11.850849
0.9890,-0.121095,-11.759117,-11.880213
0.9900,-0.112003,-11.797452,-11.909455
0.9910,-0.102708,-11.835849,-11.938557
0.9920,-0.093189,-11.874308,-11.967497
0.9930,-0.083417,-11.912829,-11.996246
0.9940,-0.073356,-11.951414,-12.024769
0.9950,-0.062958,-11.990060,-12.053018
0.9960,-0.052156,-12.028769,-12.080924
0.9970,-0.040846,-12.067540,-12.108386
0.9980,-0.028854,-12.106373,-12.135228
0.9990,-0.015815,-12.145269,-12.161084
1.0000,0.000000,-12.184228,-12.184228
