dim,phi,l_grav,l_avt,action
16,0.273,-1.1724398594595489,-0.14423006533091337,-1.3166699247904623
16,0.274,-1.1743937341380077,-0.14141588777783998,-1.3158096219158477
16,0.275,-1.1763375547083814,-0.138629436111989,-1.3149669908203705
16,0.276,-1.17827134391389,-0.13587071033336043,-1.3141420542472506
16,0.277,-1.180195124294915,-0.13313971044195422,-1.3133348347368692
16,0.278,-1.182108918191039,-0.13043643643777045,-1.3125453546288093
16,0.279,-1.1840127477430555,-0.12776088832080904,-1.3117736360638645
16,0.28,-1.185906634894949,-0.12511306609107004,-1.311019700986019
16,0.281,-1.187790601395844,-0.12249296974855346,-1.3102835711443974
16,0.282,-1.1896646688019281,-0.11990059929325941,-1.3095652680951875
16,0.283,-1.1915288584783459,-0.11733595472518761,-1.3088648132035334
16,0.284,-1.1933831916010644,-0.1147990360443382,-1.3081822276454027
16,0.285,-1.1952276891587124,-0.1122898432507112,-1.3075175324094235
16,0.286,-1.197062371954392,-0.1098083763443066,-1.3068707482986985
16,0.287,-1.1988872606074654,-0.10735463532512438,-1.3062418959325899
16,0.288,-1.2007023755553157,-0.10492862019316457,-1.3056309957484802
16,0.289,-1.2025077370550796,-0.10253033094842715,-1.3050380680035067
16,0.29,-1.20430336518536,-0.10015976759091215,-1.3044631327762721
16,0.291,-1.2060892798479086,-0.09781693012061954,-1.3039062099685281
16,0.292,-1.2078655007692904,-0.09550181853754931,-1.3033673193068398
16,0.293,-1.2096320475025186,-0.09321443284170147,-1.3028464803442201
16,0.294,-1.2113889394286717,-0.09095477303307606,-1.3023437124617476
16,0.295,-1.2131361957584814,-0.08872283911167304,-1.3018590348701544
16,0.296,-1.2148738355339068,-0.08651863107749241,-1.3013924666113992
16,0.297,-1.2166018776296754,-0.08434214893053417,-1.3009440265602097
16,0.298,-1.2183203407548142,-0.08219339267079834,-1.3005137334256125
16,0.299,-1.2200292434541482,-0.0800723622982849,-1.300101605752433
16,0.3,-1.221728604109787,-0.07797905781299387,-1.299707661922781
16,0.301,-1.2234184409425841,-0.07591347921492524,-1.2993319201575093
16,0.302,-1.2250987720135809,-0.07387562650407899,-1.2989743985176598
16,0.303,-1.2267696152254262,-0.07186549968045514,-1.2986351149058812
16,0.304,-1.2284309883237792,-0.0698830987440537,-1.298314087067833
16,0.305,-1.2300829088986918,-0.06792842369487465,-1.2980113325935665
16,0.306,-1.2317253943859725,-0.066001474532918,-1.2977268689188906
16,0.307,-1.2333584620685292,-0.06410225125818375,-1.2974607133267129
16,0.308,-1.2349821290776974,-0.062230753870671895,-1.2972128829483693
16,0.309,-1.2365964123945474,-0.06038698237038244,-1.2969833947649299
16,0.31,-1.2382013288511742,-0.05857093675731538,-1.2967722656084895
16,0.311,-1.239796895131969,-0.056782617031470715,-1.2965795121634396
16,0.312,-1.2413831277748764,-0.05502202319284846,-1.2964051509677248
16,0.313,-1.24296004317263,-0.05328915524144859,-1.2962491984140785
16,0.314,-1.2445276575739763,-0.051584013177271126,-1.2961116707512474
16,0.315,-1.2460859870848764,-0.04990659700031606,-1.2959925840851925
