,DataType,TensorSize,Iterations,MemoryUsage_MB,PrecisionSample,Error
107,float64,256,4,-0.02734375,(0.9752193749269678+0j),
108,float64,256,5,-0.14453125,(0.9752193749269678+0j),
109,float64,256,6,0.0,(0.9752193749269678+0j),
110,float64,512,2,0.00390625,(0.4383365510183877+0j),
111,float64,512,3,0.00390625,(0.4137086086202493+0j),
112,float64,512,4,0.0078125,(0.4129755618161365+0j),
113,float64,512,5,0.0,(0.4129749112236236+0j),
114,float64,512,6,0.0,(0.41297491122311114+0j),
115,float64,1024,2,0.01171875,(0.7114958758019745+0j),
116,float64,1024,3,0.0078125,(0.7103268853459146+0j),
117,float64,1024,4,0.01953125,(0.7103259234375914+0j),
118,float64,1024,5,0.0,(0.7103259234369401+0j),
119,float64,1024,6,0.0,(0.7103259234369401+0j),
120,complex128,32,2,0.0,(0.714693245890101+0j),
121,complex128,32,3,0.0,(0.7135792613651952+0j),
122,complex128,32,4,0.0,(0.7135783918321321+0j),
123,complex128,32,5,0.0,(0.7135783918316023+0j),
124,complex128,32,6,0.0,(0.7135783918316024+0j),
125,complex128,64,2,0.0,(0.8296130689775449+0j),
126,complex128,64,3,0.0,(0.829487886673201+0j),
127,complex128,64,4,-0.08203125,(0.8294878772272466+0j),
128,complex128,64,5,0.00390625,(0.8294878772272465+0j),
129,complex128,64,6,0.0,(0.8294878772272465+0j),
130,complex128,128,2,0.00390625,(0.9469389307641054+0j),
131,complex128,128,3,0.0,(0.9469378858482923+0j),
132,complex128,128,4,0.0,(0.9469378858477158+0j),
133,complex128,128,5,0.0,(0.9469378858477158+0j),
134,complex128,128,6,0.0,(0.9469378858477158+0j),
135,complex128,256,2,0.0078125,(0.2665746310258005+0j),
136,complex128,256,3,0.00390625,(0.1584237745620412+0j),
137,complex128,256,4,0.00390625,(0.12150820495710135+0j),
138,complex128,256,5,0.0,(0.11590052076927929+0j),
139,complex128,256,6,0.0,(0.11576486080096496+0j),
140,complex128,512,2,0.01171875,(0.45223189893600896+0j),
141,complex128,512,3,0.015625,(0.4305004773402512+0j),
142,complex128,512,4,0.01171875,(0.42995198237981547+0j),
143,complex128,512,5,0.00390625,(0.4299516325189776+0j),
144,complex128,512,6,0.0,(0.4299516325188353+0j),
145,complex128,1024,2,0.04296875,(0.32686182118732193+0j),
146,complex128,1024,3,-0.04296875,(0.2622923242796649+0j),
147,complex128,1024,4,0.0,(0.2543446652271976+0j),
148,complex128,1024,5,0.0,(0.2542204926121403+0j),
149,complex128,1024,6,0.0,(0.2542204622864216+0j),
